범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 마산,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
강력범죄,살인기수,67,20,13,17,11,8,12,2,8,2,1,4,0,1,2,5,0,7,4,6,9,8,0,2,1,1,2,7,0,0,3,3,1,4,1,7,1,1,0,0,5,3,0,2,4,1,0,0,3,0,3,0,5,4,0,0,0,3,4,0,0,0,2,1,4,1,3,3,0,1,1,2,1,0,1,2,1,0,1,0,2,4,7,2,0,11,7,30
강력범죄,살인미수등,96,41,23,34,7,16,11,1,9,0,1,8,3,1,3,6,3,13,6,7,6,12,2,6,2,3,2,5,0,7,2,4,6,3,0,8,4,1,0,1,5,3,0,5,15,1,0,2,3,1,5,1,4,8,6,0,0,5,7,1,3,1,0,1,2,2,4,2,1,0,0,0,0,2,7,1,7,0,5,5,6,0,13,2,1,16,4,44
강력범죄,강도,274,161,60,103,44,64,29,0,14,0,4,4,6,5,7,12,0,25,30,38,14,42,2,7,5,5,4,11,1,15,8,5,20,3,1,12,8,0,0,0,9,9,0,2,30,6,0,0,4,3,3,6,2,22,7,1,2,14,21,0,1,0,9,9,6,14,9,13,3,1,1,0,9,5,10,4,17,0,1,4,2,13,26,3,4,29,4,65
강력범죄,강간,969,383,216,304,216,181,132,3,73,0,12,25,22,26,33,50,6,105,83,157,36,86,23,52,19,13,23,53,8,67,23,29,50,17,11,32,28,5,10,6,48,10,1,15,79,15,1,14,13,11,10,11,27,82,21,13,11,34,68,16,14,4,42,34,43,23,30,50,14,5,9,25,9,9,48,23,42,0,10,12,35,63,85,11,14,64,18,328
강력범죄,유사강간,118,24,21,35,17,14,10,1,9,0,0,3,1,2,5,2,0,12,12,21,5,2,0,4,1,0,2,9,0,10,3,3,6,1,1,4,5,1,0,2,2,9,3,2,4,5,0,1,1,0,4,7,2,6,2,0,1,3,4,1,1,1,1,5,2,2,2,6,1,2,1,2,1,0,4,2,1,0,1,1,3,1,8,1,1,12,0,33
강력범죄,강제추행,4282,991,645,924,495,362,293,34,256,20,77,49,73,67,75,132,36,291,319,425,171,242,42,180,44,17,81,209,30,157,59,89,161,47,25,133,56,32,12,20,75,71,8,26,229,55,6,27,39,32,26,48,64,177,62,17,21,59,176,24,19,5,81,72,51,54,55,81,25,12,13,36,23,14,90,62,114,1,20,22,59,58,172,36,32,165,28,764
강력범죄,기타강간강제추행등,94,37,20,31,22,12,9,0,7,0,2,2,3,0,2,9,0,7,14,23,6,6,3,4,3,2,2,7,0,6,4,2,4,3,0,2,1,1,3,2,7,7,2,3,12,0,0,1,0,1,1,2,2,10,4,3,0,2,6,1,2,1,3,3,1,1,3,4,2,1,1,4,4,0,8,1,7,0,1,2,1,4,13,3,1,11,2,55
강력범죄,방화,315,117,86,94,48,41,36,5,40,1,6,6,9,7,13,26,1,38,29,40,25,30,4,12,8,2,4,15,5,22,10,9,19,17,4,14,5,4,6,3,6,3,0,3,23,4,0,3,8,4,4,5,4,22,9,5,3,10,11,6,3,0,8,7,13,5,6,10,4,2,2,8,6,3,16,12,9,0,2,7,9,12,33,0,12,23,4,148
절도범죄,절도,55280,20136,12759,10679,8438,9495,5449,638,3287,170,1234,1072,1042,944,1082,1888,410,5048,3941,6487,1791,4154,844,2142,719,417,1164,2791,307,2304,655,1136,2160,580,575,2178,832,288,188,344,1785,1132,130,524,4691,925,53,423,634,1325,681,769,1487,3945,1470,344,276,1391,3402,565,461,46,1520,1188,1049,1174,1297,2212,506,227,322,679,245,298,2496,1395,2739,2,313,358,1205,2032,5860,602,921,3309,643,11754
폭력범죄,상해,7174,4675,2736,2179,1162,1516,1353,117,490,22,147,237,181,142,160,392,102,524,734,938,295,694,141,396,157,130,149,454,57,326,161,261,460,229,104,410,352,202,155,174,514,379,82,172,798,265,24,137,155,215,137,179,341,522,283,65,101,246,496,108,194,5,415,354,347,248,347,508,200,100,127,257,134,118,616,490,595,1,134,194,307,408,1187,321,269,532,149,3941
폭력범죄,폭행,36904,8852,6607,9774,5386,4054,4213,139,2268,118,1188,823,893,826,731,1573,422,3129,3149,4123,1465,3209,551,1720,747,313,826,1710,250,1901,668,1078,1636,566,378,1327,535,252,187,268,1048,706,99,247,2589,361,6,84,102,201,126,270,770,1394,893,229,166,824,1567,263,333,20,1214,842,837,477,472,746,300,185,115,368,167,144,1134,525,1463,0,136,252,613,698,2650,319,570,1919,363,5712
폭력범죄,체포감금,186,67,39,81,26,36,20,3,15,1,4,5,4,2,4,15,4,12,21,25,6,17,5,11,2,4,7,13,3,9,2,2,9,3,2,10,7,2,1,2,12,7,1,5,13,9,1,3,2,5,2,3,6,10,9,3,3,5,14,4,6,0,6,9,7,3,13,9,2,0,0,3,2,1,8,4,4,0,0,2,10,10,17,5,3,9,4,87
폭력범죄,협박,1844,682,443,433,297,286,175,29,170,9,73,61,36,43,49,101,18,167,170,272,94,242,43,83,47,26,34,115,19,109,29,74,95,39,19,89,69,26,5,18,45,49,5,19,124,38,3,20,14,28,7,9,46,94,50,17,9,38,74,25,20,4,73,48,53,55,35,48,10,10,17,30,10,16,76,36,92,1,17,15,49,58,160,26,56,234,44,547
폭력범죄,약취유인,45,6,6,12,5,4,1,1,3,0,0,2,2,0,0,6,0,5,1,10,1,1,2,0,1,1,1,5,0,1,9,9,3,2,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,2,0,0,1,3,1,1,0,0,3,0,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,4,0,14
폭력범죄,폭력행위등,6725,2449,1595,1988,817,1045,906,71,462,10,144,220,183,131,171,395,114,591,577,1101,375,757,138,385,103,94,177,365,44,323,141,238,444,193,81,374,252,117,72,105,242,169,58,127,623,137,3,73,73,149,106,109,241,494,291,47,69,267,450,76,95,8,347,141,223,163,214,276,93,53,51,152,99,66,429,229,356,1,82,78,144,202,669,138,145,383,95,2477
폭력범죄,공갈,634,558,263,222,118,94,79,4,34,1,19,17,17,5,10,21,9,82,47,89,33,49,17,37,11,4,14,47,3,26,5,15,26,7,12,24,18,4,2,4,27,7,1,6,36,10,0,9,10,5,7,13,18,23,16,7,5,25,57,1,10,1,20,12,19,18,18,23,4,1,7,15,8,25,26,9,25,0,9,0,16,19,87,11,8,37,26,178
폭력범죄,손괴,11735,3639,3019,3365,1791,1804,1530,88,806,54,332,363,258,327,354,609,168,1158,1060,1497,649,1385,229,630,256,114,327,704,112,634,220,430,710,187,152,503,401,137,103,155,590,316,52,155,1120,303,15,79,105,152,74,196,322,798,274,95,82,334,498,89,118,13,434,254,354,420,235,581,147,67,67,206,101,87,551,344,604,0,105,129,323,286,1199,186,331,1018,144,3029
지능범죄,직무유기,106,37,25,14,22,20,10,16,10,1,1,2,2,0,1,6,0,3,8,7,4,6,2,4,1,6,1,3,2,2,0,1,1,1,0,6,3,1,1,1,5,5,2,2,8,1,0,4,6,0,0,4,1,2,2,0,0,2,5,5,1,2,2,3,1,2,5,1,0,2,0,2,0,0,2,2,4,0,0,2,2,5,5,2,0,7,2,62
지능범죄,직권남용,98,28,14,12,10,14,12,2,7,0,1,1,0,2,1,3,0,5,7,12,3,4,1,6,0,3,2,2,3,2,0,3,4,0,0,3,2,1,1,2,3,1,1,1,7,3,0,3,1,0,0,1,1,4,0,1,1,3,7,0,2,0,1,1,0,1,2,1,2,2,0,2,0,1,4,1,3,0,0,2,5,3,4,1,2,10,2,40
지능범죄,증수뢰,57,15,8,11,10,3,0,1,2,2,2,1,2,0,1,1,1,3,2,3,17,2,5,1,0,0,0,3,0,0,0,3,2,0,0,2,4,1,0,1,2,8,0,2,2,1,0,5,0,1,0,2,2,0,0,0,0,0,0,1,4,0,3,0,0,1,2,0,0,1,1,0,0,4,4,0,2,0,0,1,0,1,2,0,2,1,2,24
지능범죄,통화,801,75,84,121,30,72,17,1,36,6,11,10,9,3,6,19,6,17,45,32,15,21,5,26,5,3,1,22,2,26,1,8,24,4,9,6,4,0,0,1,6,6,0,2,20,7,0,1,2,3,1,2,3,14,1,0,0,2,3,1,3,0,6,7,3,10,1,6,0,1,2,5,3,0,7,0,4,0,1,2,2,6,12,2,2,14,4,61
지능범죄,문서인장,3336,1259,691,689,455,451,346,36,219,17,35,62,53,70,77,134,42,246,197,315,102,235,50,141,66,27,45,183,18,123,49,85,139,54,51,126,40,16,10,26,63,112,14,29,217,58,4,33,47,27,29,53,66,183,54,24,16,85,205,30,31,17,76,123,307,67,56,110,20,12,33,55,18,20,101,69,127,1,16,16,47,60,267,22,34,162,118,896
지능범죄,유가증권인지,125,5,9,14,3,4,3,2,12,1,2,4,4,1,3,3,1,5,1,6,7,4,0,0,0,0,2,0,0,3,0,8,2,1,1,5,2,0,0,0,1,0,0,0,2,0,0,0,3,0,0,2,2,2,1,0,0,1,3,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,12
지능범죄,사기,53879,20533,11507,13141,7669,7250,5606,487,3861,168,1295,1355,1229,942,1075,1878,469,5727,4229,5749,2453,4197,722,2249,881,589,946,3312,354,2117,846,1888,2638,792,489,1968,909,359,284,411,1450,780,169,538,3412,848,67,412,632,738,910,819,1167,3031,1371,280,364,1264,2945,493,671,275,1579,1190,1213,992,1143,2782,575,232,281,793,325,437,2100,1418,2611,51,431,601,1256,1441,6170,592,695,2734,2097,14465
지능범죄,횡령,13314,2980,1725,2763,1416,1216,794,122,1218,79,385,267,191,265,412,530,105,1084,1038,1231,443,912,160,557,193,69,191,655,107,525,178,400,482,132,125,496,145,43,37,109,241,256,26,78,437,140,11,55,68,112,77,125,314,573,178,46,37,118,365,69,52,23,208,156,146,154,140,297,73,23,39,90,47,51,252,190,357,2,51,52,180,165,708,74,122,439,235,1988
지능범죄,배임,1135,315,132,173,109,82,110,13,76,6,6,40,11,21,31,50,4,64,60,62,29,54,14,37,18,7,7,74,9,17,19,48,36,19,15,62,9,6,8,20,27,11,9,7,56,8,6,9,11,20,15,13,18,49,16,11,3,20,44,7,12,6,31,20,17,14,20,25,12,4,2,11,2,9,22,30,49,0,11,5,19,19,62,11,131,36,33,308
풍속범죄,성풍속범죄,5421,1164,933,1190,376,438,257,22,288,24,46,38,104,46,72,77,23,360,315,368,305,491,58,244,31,28,44,156,20,126,27,71,163,16,25,97,30,18,5,15,53,52,3,13,192,35,3,17,7,44,15,14,64,185,51,14,13,38,233,28,22,2,104,42,28,63,46,68,17,6,5,12,8,11,131,38,92,0,5,6,52,37,164,12,27,236,73,306
풍속범죄,도박범죄,1320,921,485,390,216,251,146,7,108,1,34,42,22,33,52,53,13,115,115,343,89,131,17,69,25,16,13,63,14,39,28,34,52,19,50,53,19,8,12,18,48,24,4,22,154,33,6,13,29,45,17,38,46,105,53,23,20,51,92,20,29,0,59,78,49,36,57,66,26,9,11,25,19,12,124,113,56,0,16,10,24,27,124,89,38,106,46,744
특별경제범죄,특별경제범죄,22075,13868,3421,5751,2535,1635,1289,187,1278,60,818,360,299,383,420,589,107,1449,1749,1596,623,1597,322,902,226,108,342,831,138,613,209,667,928,287,147,631,253,120,87,190,342,283,32,137,704,204,23,94,113,118,101,113,304,910,227,87,67,363,577,96,129,31,350,273,280,257,287,481,143,45,52,520,81,91,443,230,640,10,109,145,310,399,1018,111,269,982,1631,3027
마약범죄,마약범죄,1360,759,393,557,69,78,67,2,82,4,15,22,16,15,13,24,25,56,79,118,41,71,92,37,25,114,18,137,6,103,10,48,124,38,10,56,5,2,1,0,61,39,2,63,73,18,0,7,3,19,10,18,36,52,7,1,2,5,32,1,7,0,13,14,23,11,28,44,17,11,17,19,11,27,19,22,121,1,43,24,25,90,122,10,6,20,16,509
보건범죄,보건범죄,3941,1832,417,654,760,204,230,15,223,6,90,87,62,45,68,261,20,162,244,368,302,134,51,88,77,22,32,170,19,86,41,102,94,50,41,186,37,23,7,34,93,31,7,44,96,56,1,4,21,26,33,20,57,63,97,18,26,88,144,37,15,9,42,24,78,34,53,118,25,8,17,18,11,21,100,71,126,1,51,29,57,123,258,19,37,131,36,843
환경범죄,환경범죄,53,198,19,69,8,13,53,2,30,3,2,52,9,0,14,52,5,14,4,25,58,29,3,5,44,4,7,60,5,15,43,51,355,119,13,171,7,15,7,5,14,8,1,13,28,9,1,4,12,5,9,24,7,28,15,4,3,40,11,7,6,2,12,5,38,10,27,16,7,1,4,9,4,18,27,19,125,0,19,18,7,20,77,21,24,22,30,503
교통범죄,교통범죄,74958,35841,39725,31163,23412,13556,16600,1056,11926,720,2740,3660,2151,2121,3726,4795,954,10467,8900,14715,7830,11372,2490,5909,2547,1687,2009,7716,1722,3670,2653,6218,7646,2677,2583,5902,2737,1519,1110,1436,6012,5008,594,1839,8972,3902,138,1230,1182,1943,1703,1767,2296,9104,3497,997,752,3202,6444,1115,2434,276,4699,4954,5083,2464,4839,8505,2121,1005,1160,1750,1644,1346,7475,4832,8691,2,1216,2517,3759,3351,12650,2936,3581,10857,2325,43877
노동범죄,노동범죄,215,190,31,28,13,14,63,0,13,0,6,13,2,4,4,6,0,21,9,28,5,26,3,34,5,1,1,5,0,5,0,5,29,2,1,15,15,0,0,5,2,2,0,1,7,1,0,0,3,2,1,2,0,11,5,0,3,1,34,2,2,0,18,16,6,6,3,13,6,0,1,6,3,0,15,14,14,0,0,1,10,0,19,43,3,6,1,45
안보범죄,안보범죄,38,4,4,20,3,4,2,0,1,0,1,0,0,0,0,0,0,2,2,3,0,2,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,11,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,6
선거범죄,선거범죄,24,24,18,19,9,8,15,5,4,1,3,0,2,0,3,0,0,0,2,2,3,1,7,3,1,8,0,8,1,0,9,11,8,0,0,6,7,1,4,1,1,1,0,12,5,1,0,3,5,7,10,3,4,1,0,10,6,2,9,7,5,6,6,5,7,4,9,9,11,3,17,2,0,3,5,3,4,0,4,5,3,30,17,4,12,11,3,267
병역범죄,병역범죄,4591,959,800,1200,371,630,382,86,360,10,61,170,71,53,50,312,44,355,362,433,228,332,101,201,137,19,104,235,34,188,71,142,156,105,36,225,33,23,9,8,110,79,3,22,316,53,6,25,72,49,20,36,99,414,82,12,19,55,186,27,38,1,98,91,82,82,76,214,37,5,32,38,14,31,243,112,198,1,57,42,158,92,355,52,52,190,155,808
기타범죄,기타범죄,41752,19868,9766,13677,5301,4602,4881,462,3473,174,1138,1135,699,672,1205,2361,372,3804,3297,4856,1961,3293,939,1924,847,368,913,2304,305,1642,829,1355,2122,881,482,2058,899,397,739,333,1130,910,140,443,2838,697,61,393,505,1384,959,669,888,2693,1765,297,255,1142,2262,401,424,140,1471,811,2846,802,1239,1307,464,190,229,532,242,268,2130,957,2018,12,410,1040,978,933,3643,1594,1331,3130,1341,17797
