순번,본부명,소방서,주소,전화번호
1,서울,종로소방서,서울특별시 종로구 율곡로 78(운니동 114-2),02-6981-5600
2,서울,중부소방서,서울특별시 중구 퇴계로 394(무학동),02-2233-1219
3,서울,광진소방서,서울특별시 광진구 광나루로 480 (구의동),02-6981-6600
4,서울,용산소방서,서울특별시 용산구 한강대로 167 (한강로2가),02-6943-1400
5,서울,동대문소방서,서울특별시 동대문구 장한로 34 (장안동),02-6942-1200
6,서울,영등포소방서,서울특별시 영등포구 문래로 197 (영등포동4가),02-6981-7000
7,서울,성북소방서,서울특별시 성북구 종암로 27길 3 (종암동),02-6981-7200
8,서울,은평소방서,서울특별시 은평구 통일로 962 (진관동),02-6981-6000
9,서울,강남소방서,서울특별시 강남구 테헤란로 629 (삼성동),02-6981-7408
10,서울,서초소방서,서울특별시 서초구 사평대로 67 (반포동),02-594-0119
11,서울,강서소방서,서울특별시 강서구 양천로 550 (등촌동),02-6981-5000
12,서울,강동소방서,서울특별시 강동구 성내로 39 (성내동),02-6981-7600
13,서울,마포소방서,서울특별시 마포구 창전로 76 (신수동),02-6981-7800
14,서울,도봉소방서,서울특별시 도봉구 도봉로 666 (방학동),02-6981-8073
15,서울,구로소방서,서울특별시 구로구 경인로 408 (고척동),02-6981-6320
16,서울,노원소방서,서울특별시 노원구 한글비석로 1길 8 (하계동),02-6981-6800
17,서울,관악소방서,서울특별시 관악구 관악로 97 (봉천동),02-6981-8200
18,서울,송파소방서,서울특별시 송파구 오금로51길 56 (마천동),02-6981-5200
19,서울,양천소방서,서울특별시 양천구 목동서로 180 (목동),02-6981-8600
20,서울,중랑소방서,서울특별시 중랑구 신내로 183 (신내동),02-6981-8800
21,서울,동작소방서,서울특별시 동작구 여의대방로16길 55 (신대방동),02-6913-7770
22,서울,서대문소방서,서울특별시 서대문구 연희로 182 (연희동),02-6981-5400
23,서울,강북소방서,서울특별시 강북구 한천로 911 (번동),02-6946-0100
24,서울,성동소방서,서울특별시 성동구 살곶이길 331(행당동),02-2622-1600
25,서울,금천소방서,서울특별시 금천구 시흥대로 342 금천소방서,02-6984-6479
26,부산,중부소방서,부산광역시 중구 중앙대로 110(중앙동4가),051-760-4101
27,부산,부산진소방서,부산광역시 부산진구 서전로 43(전포동),051-760-4201
28,부산,동래소방서,부산광역시 연제구 고분로 216(연산동),051-760-4301
29,부산,북부소방서,부산광역시 사상구 삼덕로 17(삼락동),051-760-4401
30,부산,사하소방서,부산광역시 사하구 장평로 270(신평동),051-760-4501
31,부산,해운대소방서,부산광역시 해운대구 해운대해변로 106(우동),051-760-4601
32,부산,금정소방서,부산광역시 금정구 중앙대로 1789(부곡동),051-760-4701
33,부산,남부소방서,부산광역시 수영구 광일로 64(광안동),051-760-4801
34,부산,강서소방서,부산광역시 강서구 녹산산단361로 9(송정동),051-760-5001
35,부산,기장소방서,부산광역시 기장군 정관읍 용수로 7(정관읍),051-760-5101
36,부산,항만소방서,부산광역시 영도구 해양로 297(동삼동),051-760-4901
37,대구,중부소방서,대구광역시 중구 달구벌대로 1926,053-601-4501
38,대구,동부소방서,대구광역시 동구 동대구로 507,053-601-4317
39,대구,서부소방서,대구광역시 서구 달서천로 186,053-320-4401
40,대구,북부소방서,대구광역시 북구 칠성남로 112,053-350-4700
41,대구,수성소방서,대구광역시 수성구 청호로 87,053-607-3700
42,대구,달서소방서,대구광역시 달서구 학산로 75,053-607-2801
43,대구,달성소방서,대구광역시 달성군 현풍읍 비슬로 480,053-602-4800
44,대구,강서소방서,대구광역시 달성군 다사읍 달구벌대로 920,053-601-4600
45,인천,중부소방서,인천광역시 중구 인중로 204,032-870-5181
46,인천,남동소방서,인천광역시 남동구 인주대로 714,032-870-5210
47,인천,부평소방서,인천광역시 부평구 부평대로 324,032-723-5310
48,인천,서부소방서,인천광역시 서구 서곶로 292,032-723-5438
49,인천,공단소방서,인천광역시 남동구 남동서로 208,032-723-5512
50,인천,계양소방서,인천광역시 계양구 장제로 774,032-650-5662
51,인천,미추홀소방서,인천광역시 미추홀구 인하로 190,032-870-3213
52,인천,강화소방서,인천광역시 강화군 불은면 중앙로 505,032-930-5820
53,인천,영종소방서,인천광역시 중구 제2터미널대로 268,032-727-6115
54,인천,송도소방서,인천광역시 연수구 첨단대로60번길 15,032-810-6609
55,광주,동부소방서,광주광역시 동구 제봉로 210(대인동),062-613-8401
56,광주,서부소방서,광주광역시 서구 화운로 197(화정동),062-613-8513
57,광주,남부소방서,광주광역시 남구 송암로58번길 13(송하동),062-613-8613
58,광주,북부소방서,광주광역시 북구 서하로 290(오치동),062-613-8713
59,광주,광산소방서,광주광역시 광산구 하남산단1번로 13(하남동),062-613-8813
60,대전,동부소방서,대전광역시 동구 계족로 300,042-270-1300
61,대전,둔산소방서,대전광역시 서구 갈마중로 15,042-270-1400
62,대전,대덕소방서,대전광역시 대덕구 계족로 682,042-270-1500
63,대전,유성소방서,대전광역시 유성구 대덕대로 516,042-270-1600
64,대전,서부소방서,대전광역시 서구 복수서로 67,042-270-1700
65,울산,중부소방서,울산광역시 중구 종가로 205,052-210-4400
66,울산,남부소방서,울산광역시 남구 삼산중로 149,052-210-4700
67,울산,동부소방서,울산광역시 동구 꽃바위2가길 9,052-279-6300
68,울산,북부소방서,울산광역시 북구 화동로 178,052-229-8001
69,울산,온산소방서,울산광역시 울주군 온산읍 덕신로 232,052-241-6600
70,울산,울주소방서,울산광역시 울주군 언양읍 남천둑길 99,052-241-2480
71,세종,조치원소방서,세종특별자치시 조치원읍 세종로 2439,044-300-8301
72,세종,세종소방서,세종특별자치시 절재로 301(어진동),044-300-8401
73,경기,수원소방서,경기도 수원시 정자천로189번길 12,031-8012-9100
74,경기,수원남부소방서,경기도 수원시 권선구 동수원로 286,031-639-8100
75,경기,성남소방서,경기도 성남시 수정구 제일로 111,031-720-0100
76,경기,분당소방서,경기도 성남시 분당구 양현로 14,031-8018-3100
77,경기,부천소방서,경기도 부천시 신흥로 115 ,032-650-4100
78,경기,안양소방서,경기도 안양시 동안구 관평로212번길 32(관양동),031-470-0100
79,경기,안산소방서,경기도 안산시 단원구 화랑로 407,031-470-7100
80,경기,용인소방서,경기도 용인시 처인구 명지로 45,031-8021-0100
81,경기,평택소방서,경기도 평택시 중앙로 273,031-8053-6100
82,경기,송탄소방서,경기도 평택시 경기대로 1627(신장동),031-685-8100
83,경기,광명소방서,경기도 광명시 금하로 472,02-2610-3100
84,경기,시흥소방서,경기도 시흥시 정왕신길로 206,031-310-0100
85,경기,군포소방서,경기도 군포시 고산로 429,031-479-8100
86,경기,화성소방서,경기도도 화성시 향남읍 향남로 399,031-8012-6100
87,경기,이천소방서,경기도 이천시 경충대로 2739,031-645-5100
88,경기,김포소방서,경기도 김포시 감암로 111,031-980-4100
89,경기,광주소방서,경기도 광주시 초월읍 무들로 112 광주소방서,031-799-2100
90,경기,안성소방서,경기도 안성시 미양로 855 ,031-678-4100
91,경기,하남소방서,경기도 하남시 대청로 76,031-799-4100
92,경기,의왕소방서,경기도 의왕시 오봉로 9 ,031-596-0100
93,경기,오산소방서,경기도 오산시 문헌공로 30,031-8059-7100
94,경기,여주소방서,경기도 여주시 우암로 110,031-887-7100
95,경기,양평소방서,경기도 양평군 양평읍 경강로 2047 ,031-770-0100
96,경기,과천소방서,경기도 과천시 통영로 12,02-3314-100
97,경기북,고양소방서,경기도 고양시 덕양구 고양대로 1342,031-931-0100
98,경기북,일산소방서,경기도 고양시 일산동구 중앙로 1325,031-930-0100
99,경기북,의정부소방서,경기도 의정부시 금오로23번길 22-40,031-849-7111
100,경기북,남양주소방서,경기도 남양주시 평내동 평내로 25,031-590-0100
101,경기북,파주소방서,경기도 파주시 파주읍 통일로 1564 ,031-956-9100
102,경기북,구리소방서,경기도 구리시 아차산로487번길 46,031-570-6100
103,경기북,포천소방서,경기도 포천시 호국로 1538,031-538-5100
104,경기북,양주소방서,경기도 양주시 꿈나무로 156,031-849-8100
105,경기북,동두천소방서,경기도 동두천시 지행로 6,031-830-5100
106,경기북,가평소방서,경기도 가평군 가평읍 가화로 36,031-734-100
107,경기북,연천소방서,경기도 연천군 전곡읍 평화로 892,031-830-0100
108,강원,춘천소방서,강원도 춘천시 후석로 446(후평동),033-248-9100
109,강원,원주소방서,강원도 원주시 동부순환로 201(반곡동),033-769-1213
110,강원,강릉소방서,강원도 강릉시 선수촌로 64-28(홍제동),033-610-8100
111,강원,동해소방서,강원도 동해시 천곡로 120(천곡동),033-530-8100
112,강원,태백소방서,강원도 태백시 태백로 1120(황지동),033-550-8100
113,강원,속초소방서,강원도 속초시 미시령로 3226,033-630-2100
114,강원,삼척소방서,강원도 삼척시 봉황로 101,033-570-8100
115,강원,홍천소방서,강원도 홍천군 홍천읍 공작산로 99,033-439-2100
116,강원,횡성소방서,강원도 횡성군 횡성읍 문예로 157,033-340-9100
117,강원,영월소방서,강원도 영월군 영월읍 영월로 1863,033-371-7100
118,강원,평창소방서,강원도 평창군 평창읍 살구실길 10,033-339-8100
119,강원,정선소방서,강원도 정선군 정선읍 녹송로 27,033-560-6100
120,강원,철원소방서,강원도 철원군 갈말읍 태봉로 1504,033-450-2100
121,강원,화천소방서,강원도 화천군 위라리길 47,033-440-7100
122,강원,양구소방서,강원도 양구군 양구읍 중심로 92,033-480-4100
123,강원,인제소방서,강원도 인제군 인제읍 비봉로 44번길 71,033-460-9100
124,강원,고성소방서,강원도 고성군 간성읍 수성로 37-11,033-680-7100
125,강원,양양소방서,강원도 양양군 양양읍 남대천로 33,033-639-7100
126,충북,청주동부소방서,충청북도 청주시 상당구 영운로 61,043-251-0104
127,충북,청주서부소방서,충청북도 청주시 흥덕구 가경로 143,043-249-9201
128,충북,충주소방서,충청북도 충주시 목행산단7로 9,043-841-3100
129,충북,제천소방서,충청북도 제천시 신죽하로 164,043-641-7201
130,충북,보은소방서,충청북도 보은군 보은읍 남부로 4415,043-773-0100
131,충북,옥천소방서,충청북도 옥천군 옥천읍 동부로 15,043-730-1800
132,충북,영동소방서,충청북도 영동군 영동읍 영동황간로 174,043-740-7000
133,충북,증평소방서,충청북도 증평군 충청대로 1789,043-830-0100
134,충북,진천소방서,충청북도 진천군 진천읍 진광로 93,043-539-8110
135,충북,괴산소방서,충청북도 괴산군 괴산읍 괴강로 69,043-760-0100
136,충북,음성소방서,충청북도 음성군 금왕읍 응천서길 11,043-880-0201
137,충북,단양소방서,충청북도 단양군 단양읍 삼봉로 421-56,043-767-4100
138,충남,천안동남소방서,충청남도 천안시 동남구 천안대로 580,041-570-0201
139,충남,천안서북소방서,충청남도 천안시 서북구 직산읍 4산단2길 32,041-360-0200
140,충남,공주소방서,충청남도 공주시 무령로 55,041-851-0201
141,충남,보령소방서,충청남도 보령시 성주산로 63,041-930-0201
142,충남,아산소방서,충청남도 아산시 모종로 77,041-538-0201
143,충남,서산소방서,충청남도 서산시 호수공원 14로 26-4,041-689-0200
144,충남,논산소방서,충청남도 논산시 대학로 17,041-730-0201
145,충남,계룡소방서,충청남도 계룡시 엄사면 문화로32,042-540-5200
146,충남,당진소방서,충청남도 당진시 역천로 838,041-350-5201
147,충남,금산소방서,충청남도 금산군 금산읍 삼풍로 2,041-750-1201
148,충남,부여소방서,충청남도 부여군 규암면 계백로17,041-830-0200
149,충남,서천소방서,충청남도 서천군 장항읍 장항로 37,041-955-0201
150,충남,청양소방서,충청남도 청양군 청양읍 충절로 1187,041-940-7200
151,충남,홍성소방서,충청남도 홍성군 홍성읍 충절로 741,041-630-0201
152,충남,예산소방서,충청남도 예산군 오가면 오가중앙로 111,041-330-4201
153,충남,태안소방서,충청남도 태안군 태안읍 동백로 100,041-671-0201
154,전북,전주덕진소방서,전라북도 전주시 덕진구 백제대로 611,063-250-4201
155,전북,전주완산소방서,전라북도 전주시 완산구 거마평로 73,063-220-4201
156,전북,군산소방서,전라북도 군산시 번영로 308,063-450-0201
157,전북,익산소방서,전라북도 익산시 무왕로 1338,063-839-3201
158,전북,정읍소방서,전라북도 정읍시 서부산업도로 507-5,063-570-1201
159,전북,남원소방서,전라북도 남원시 요천로 1965,063-630-8201
160,전북,김제소방서,전라북도 김제시 벽성로 278,063-540-4201
161,전북,완주소방서,전라북도 완주군 삼례읍 삼봉로 518,063-290-0201
162,전북,진안소방서,전라북도 진안군 진안읍 쇠징계로 9,063-786-5201
163,전북,장수소방서,전라북도 장수군 장계면 육십령로 136,063-350-6201
164,전북,순창소방서,전라북도 순창군 순창읍 교성로 24,063-650-9201
165,전북,고창소방서,전라북도 고창군 고창읍 녹두로 1294,063-560-1201
166,전북,부안소방서,전라북도 부안군 행안면 변산로 86,063-580-1201
167,전남,목포소방서,전라남도 목포시 삼향천로 110,061-280-0900
168,전남,여수소방서,전라남도 여수시 망마로 20,061-680-0900
169,전남,순천소방서,전라남도 순천시 서면 삼산로 281,061-750-0900
170,전남,나주소방서,전라남도 나주시 예향로 4201,061-330-0900
171,전남,광양소방서,전라남도 광양시 중마중앙로 109,061-798-0900
172,전남,담양소방서,전라남도 담양군 담양읍 추성로 1232,061-380-0900
173,전남,고흥소방서,전라남도 고흥군 풍양면 고흥로 1330,061-840-0900
174,전남,보성소방서,전라남도 보성군 벌교읍 녹색로 5247,061-859-0900
175,전남,화순소방서,전라남도 화순군 화순읍 학포로 2750,061-379-0900
176,전남,장흥소방서,전라남도 장흥군 장흥읍 북부로 138,061-850-0900
177,전남,강진소방서,전라남도 강진군 군동면 중앙로 223,061-430-0900
178,전남,해남소방서,전라남도 해남군 해남읍 교육청길 82,061-530-0900
179,전남,영암소방서,전라남도 영암군 삼호읍 나불로 192,061-460-0900
180,전남,무안소방서,전라남도 무안군 무안읍 공항로 133,061-450-0900
181,전남,함평소방서,전라남도 함평군 대동면 학동로386,061-338-0900
182,전남,영광소방서,전라남도 영광군 영광읍 함영로 3508,061-350-0900
183,전남,장성소방서,전라남도 장성군 장성읍 단풍로 204,061-360-0900
184,전남,완도소방서,전라남도 완도군 농공단지길7,061-470-0900
185,전남,진도소방서,전라남도 진도군 진도대로 6945,061-530-0953
186,전남,신안소방서,전라남도 신안군 암태면 단고리 973-6,061-280-0979
187,경북,포항북부소방서,경상북도 포항시 북구 중앙로 332,054-260-2101
188,경북,포항남부소방서,경상북도 포항시 남구 동해안로 5890,054-288-0800
189,경북,경주소방서,경상북도 경주시 알천남로 276,054-778-0500
190,경북,김천소방서,경상북도 김천시 강변로 219,054-420-5800
191,경북,안동소방서,경상북도 안동시 육사로 301,054-850-6600
192,경북,구미소방서,경상북도 구미시 수출대로 112,054-440-0100
193,경북,영주소방서,경상북도 영주시 문수면 적서로 448번길 17,054-630-0302
194,경북,영천소방서,경상북도 영천시 호국로 187,054-332-0119
195,경북,상주소방서,경상북도 상주시 상산로 322,054-530-3700
196,경북,문경소방서,경상북도 문경시 중앙로 305,054-559-1800
197,경북,경산소방서,경상북도 경산시 압량읍 김유신로 12,053-819-6200
198,경북,의성소방서,경상북도 의성군 봉양면 대로 4741,054-830-7700
199,경북,영덕소방서,경상북도 영덕군 영덕읍 경동로 8401,054-730-1500
200,경북,청도소방서,경상북도 청도군 청도읍 중앙로 192-34,054-370-8200
201,경북,고령소방서,경상북도 고령군 대가야읍 벽화길 18,054-950-8000
202,경북,성주소방서,경상북도 성주군 성주읍 주산로 193,054-930-5500
203,경북,칠곡소방서,경상북도 칠곡군 기산면 칠곡대로 1216,054-970-2700
204,경북,예천소방서,경상북도 예천군 예천읍 양궁로 61-12,054-650-3400
205,경북,울진소방서,경상북도 울진군 울진읍 울진북로 508,054-780-1300
206,경남,진주소방서,경상남도 진주시 동진로 249,055-760-9200
207,경남,통영소방서,경상남도 통영시 광도면 죽림4로 49,055-640-9200
208,경남,사천소방서,경상남도 사천시 남일로 29,055-830-9200
209,경남,김해동부소방서,경상남도 김해시 김해대로 2507,055-320-9200
210,경남,김해서부소방서,경상남도 김해시 진례면 서부로 730,055-344-9200
211,경남,밀양소방서,경상남도 밀양시 밀양대공원로 66,055-350-9200
212,경남,거제소방서,경상남도 거제시 진목로 1,055-689-9200
213,경남,양산소방서,경상남도 양산시 물금읍 황산로 719,055-379-9200
214,경남,의령소방서,경상남도 의령군 의령읍 의병로 108-17,055-570-9200
215,경남,함안소방서,경상남도 함안군 가야읍 선왕길 59,055-580-9200
216,경남,창녕소방서,경상남도 창녕군 대지면 우포2로 1097,055-259-9200
217,경남,고성소방서,경상남도 고성군 고성읍 남해안대로 2670,055-670-9200
218,경남,남해소방서,경상남도 남해군 남해읍 스포츠로 81,055-860-9200
219,경남,하동소방서,경상남도 하동군 금성면 금성로 15,055-880-9200
220,경남,산청소방서,경상남도 산청군 산청읍 중앙로 76-7,055-970-9200
221,경남,함양소방서,경상남도 함양군 함양읍 고운로 161-41,055-960-9200
222,경남,거창소방서,경상남도 거창군 거창읍 거함대로 3324,055-940-9200
223,경남,합천소방서,경상남도 합천군 합천읍 인덕로 2453,055-930-9200
224,제주,제주소방서,제주특별자치도 제주시 중앙로 342(이도이동),064-729-0103
225,제주,서귀포소방서,제주특별자치도 서귀포시 서호남로 20(법환동),064-730-7101
226,제주,서부소방서,제주특별자치도 제주시 한림읍 한림중앙로 150,064-795-0101
227,제주,동부소방서,제주특별자치도 서귀포시 성산읍 일주동로 4120번길 7,064-780-9133
228,창원,의창소방서,경상남도 창원시 의창구 의창대로272번길 10,055-225-9200
229,창원,성산소방서,경상남도 창원시 의창구 상남로 165,055-211-9200
230,창원,마산소방서,경상남도 창원시 마산합포구 제2부두로 55,055-249-9200