순번,시도본부,소방서,119안전센터명,주소,전화번호
271,인천,강화,불은119안전센터,인천광역시 강화군 불은면 중앙로 505,032-930-5811
272,인천,강화,강화119안전센터,인천광역시 강화군 강화읍 남문로23번길 11,032-930-5894
273,인천,강화,길상119안전센터,인천광역시 강화군 길상면 마니산로 93,032-930-5822
274,인천,강화,내가119안전센터,인천광역시 강화군 내가면 강화서로 235-1,032-930-5823
275,인천,영종,공항119안전센터,인천광역시 중구 제2터미널대로 268 ,032-727-6180
276,인천,영종,운서119안전센터,인천광역시 중구 흰바위로27번길 16,032-727-6182
277,인천,영종,운남119안전센터,인천광역시 중구 운남로 116,032-727-6181
278,인천,영종,용유119안전센터,인천광역시 중구 용유서로128번길 1,032-727-6183
279,인천,송도,미래119안전센터,인천광역시 연수구 첨단대로 60번길 15,032-810-6660
280,인천,송도,신송119안전센터,인천광역시 연수구 해돋이로 92,032-810-6683
281,인천,송도,영흥119안전센터,인천광역시 영흥면 영흥로 283-32,032-810-6692
282,인천,송도,국제119안전센터,인천광역시 연수구 센트럴로 412,032-831-6119
283,광주,동부,대인119안전센터,광주광역시 동구 제봉로 210(대인동),062-606-4203
284,광주,동부,용산119안전센터,광주광역시 동구 남문로 535(용산동),062-606-4403
285,광주,동부,지산119안전센터,광주광역시 동구 밤실로30번길 16(지산동),062-606-4423
286,광주,서부,화정119안전센터,광주광역시 서구 화운로 197(화정동),062-606-4255
287,광주,서부,염주119안전센터,광주광역시 서구 염화로 77(화정동),062-606-4507
288,광주,서부,금호119안전센터,광주광역시 서구 운천로 112(쌍촌동),062-606-4525
289,광주,서부,상무119안전센터,광주광역시 서구 치평로 65(치평동),062-606-4543
290,광주,서부,풍암119안전센터,광주광역시 서구 회재로 907(금호동),062-606-4564
291,광주,남부,송하119안전센터,광주광역시 남구 송암로58번길 13(송하동),062-606-4303
292,광주,남부,월산119안전센터,광주광역시 남구 수박등로 1(월산동),062-606-4603
293,광주,남부,봉선119안전센터,광주광역시 남구 오방로 63(방림동),062-606-4623
294,광주,북부,문흥119안전센터,광주광역시 북구 서하로 290(오치동),062-606-4353
295,광주,북부,임동119안전센터,광주광역시 북구 서림로 5(임동),062-606-4703
296,광주,북부,우산119안전센터,광주광역시 북구 동문대로 127(우산동),062-606-4723
297,광주,북부,일곡119안전센터,광주광역시 북구 설죽로 529(일곡동),062-606-4743
298,광주,북부,두암119안전센터,광주광역시 북구 삼정로 5(두암동),062-606-4763
299,광주,북부,동림119안전센터,광주광역시 북구 북문대로 202(동림동),062-606-4783
300,광주,광산,하남119안전센터,광주광역시 광산구 하남산단1번로 13(하남동),062-606-4903
301,광주,광산,송정119안전센터,광주광역시 광산구 상무대로 93-1(도산동),062-606-4803
302,광주,광산,월곡119안전센터,광주광역시 광산구 우산로 85번길 12-5(우산동),062-606-4828
303,광주,광산,비아119안전센터,광주광역시 광산구 비아로12번길 10(비아동),062-606-4843
304,광주,광산,신가119안전센터,광주광역시 광산구 수등로 236(신가동),062-606-4863
305,광주,광산,첨단119안전센터,광주광역시 광산구 임방울대로825번길 16(쌍암동),062-606-4883
306,광주,광산,평동119안전센터,광주광역시 광산구 월전로 59(월전동),062-606-4953
307,대전,동부,가양119안전센터,대전광역시 동구 계족로 300,042-270-1221
308,대전,동부,삼성119안전센터,대전광역시 동구 태전로 134,042-270-1231
309,대전,동부,원동119안전센터,대전광역시 동구 대전천동로 508,042-270-1241
310,대전,동부,부사119안전센터,대전광역시 중구 대종로 373,042-270-1251
311,대전,동부,산내119안전센터,대전광역시 동구 산내로 1328,042-270-1261
312,대전,동부,용운119안전센터,대전광역시 동구 용운로 151번길 88,042-270-1271
313,대전,둔산,갈마119안전센터,대전광역시 서구 갈마중로 15,042-270-1804
314,대전,둔산,태평119안전센터,대전광역시 중구 동서대로 1235,042-270-1811
315,대전,둔산,탄방119안전센터,대전광역시 서구 문정로 142,042-270-1821
316,대전,둔산,월평119안전센터,대전광역시 서구 청사로 27,042-270-1831
317,대전,둔산,샘머리119안전센터,대전광역시 서구 둔산로 101번길 26,042-270-1841
318,대전,대덕,법동119안전센터,대전광역시 대덕구 계족로 682,042-270-1851
319,대전,대덕,대화119안전센터,대전광역시 대덕구 대화로 81,042-270-1861
320,대전,대덕,덕암119안전센터,대전광역시 대덕구 신탄진로 661,042-270-1871
321,대전,대덕,문평119안전센터,대전광역시 대덕구 문평동로 18번길 34,042-270-1881
322,대전,대덕,송촌119안전센터,대전광역시 대덕구 동춘당로 65,042-270-1891
323,대전,유성,도룡119안전센터,대전광역시 유성구 대덕대로 516,042-270-1903
324,대전,유성,전민119안전센터,대전광역시 유성구 엑스포로 486-11,042-270-1912
325,대전,유성,구암119안전센터,대전광역시 유성구 월드컵대로 263,042-270-1922
326,대전,유성,궁동119안전센터,대전광역시 유성구 궁동로 35,042-270-1931
327,대전,유성,노은119안전센터,대전광역시 유성구 노은로 101,042-270-1942
328,대전,서부,복수119안전센터,대전광역시 서구 복수서로 67,042-270-1952
329,대전,서부,문화119안전센터,대전광역시 중구 계룡로 918번길 67,042-270-1961
330,대전,서부,산성119안전센터,대전광역시 중구 산성로 59,042-270-1971
331,대전,서부,가수원119안전센터,대전광역시 서구 용소로 46,042-270-1981
332,대전,서부,원내119안전센터,대전광역시 유성구 계백로 801번길 17,042-270-1991
333,울산,중부,유곡119안전센터,울산광역시 중구 종가로 205,052-241-2409
334,울산,중부,성남119안전센터,울산광역시 중구 만남의거리 14,052-241-2421
335,울산,중부,병영119안전센터,울산광역시 중구 구교로 226,052-241-2441
336,울산,중부,태화119안전센터,울산광역시 중구 태화로 111,052-241-2531
337,울산,남부,삼산119안전센터,울산광역시 남구 삼산중로 149,052-241-2580
338,울산,남부,여천119안전센터,울산광역시 남구 여천로 81-33,052-241-2610
339,울산,남부,신정119안전센터,울산광역시 남구 신정로 87번길 2,052-241-2630
340,울산,남부,장생포119안전센터,울산광역시 남구 매암로 18,052-241-2560
341,울산,남부,무거119안전센터,울산광역시 남구 문수로 89,052-241-2650
342,울산,남부,공단119안전센터,울산광역시 남구 사평로 161,052-241-2670
343,울산,남부,옥동119안전센터,울산광역시 남구 대공원입구로21번길 20,052-241-2690
344,울산,동부,화암119안전센터,울산광역시 동구 꽃바위2가길 9,052-241-2720
345,울산,동부,화정119안전센터,울산광역시 동구 방어진순환도로 601,052-241-2740
346,울산,동부,전하119안전센터,울산광역시 동구 진성4가길 8,052-241-2760
347,울산,온산,송정119안전센터,울산광역시 북구 화동로 178,052-229-8200
348,울산,온산,농소119안전센터,울산광역시 북구 아진로 72,052-229-8240
349,울산,온산,매곡119안전센터,울산광역시 북구 오토밸리로 1024,052-229-8260
350,울산,온산,염포119안전센터,울산광역시 북구 염포로 769,052-229-8220
351,울산,북부,강동119안전센터,울산광역시 북구 산하중앙2로 231 ,052-229-8280
352,울산,북부,온산119안전센터,울산광역시 울주군 온산읍 덕신로 232,052-241-2860
353,울산,북부,온양119안전센터,울산광역시 울주군 온양읍 온양로 74,052-241-2890
354,울산,북부,웅촌119안전센터,울산광역시 울주군 웅촌면 곡천검단로 9,052-241-2910
355,울산,북부,화산119안전센터,울산광역시 울주군 온산읍 공단로 417,052-241-2840
356,울산,울주,언양119안전센터,울산광역시 울주군 언양읍 남천둑길 99,052-241-2461
357,울산,울주,범서119안전센터,울산광역시 울주군 범서읍 구영앞길 99,052-241-2501
358,울산,울주,두서119안전센터,울산광역시 울주군 두서면 인보로 85,052-241-2551
359,세종,조치원,조치원119안전센터,세종특별자치시 조치원읍 세종로 2439,044-300-8523
360,세종,조치원,전의119안전센터,세종특별자치시 전의면 서정길 46-6,044-300-8533
361,세종,조치원,부강119안전센터,세종특별자치시 부강면 청연로 7,044-300-8543
362,세종,조치원,연서119안전센터,세종특별자치시 연서면 도신고복로 306,044-300-8553
363,세종,세종,어진119안전센터,세종특별자치시 절재로 301(어진동),044-300-8623
364,세종,세종,아름119안전센터,세종특별자치시 보듬3로 119(아름동),044-300-8633
365,세종,세종,한솔119안전센터,세종특별자치시 노을3로 29(한솔동),044-300-8643
366,세종,세종,보람119안전센터,세종특별자치시 남세종로 436(보람동),044-300-8653
367,세종,세종,장군119안전센터,세종특별자치시 장군면 장척로 391,044-300-8664
368,경기,수원,정자119안전센터,경기도 수원시 정자천로189번길 12,031-8012-9500
369,경기,수원,원천119안전센터,경기도 수원시 영통구 중부대로 349,031-8012-9530
370,경기,수원,파장119안전센터,경기도 수원시 장안구 서부로 2308,031-8012-9570
371,경기,수원,이의119안전센터,경기도 수원시 영통구 도청로 10,031-8012-9580
372,경기,수원,영통119안전센터,경기도 수원시 영통구 매영로 325,031-8012-9140
373,경기,수원남부,남부119안전센터,경기도 수원시 권선구 동수원로 286,031-639-8500
374,경기,수원남부,매산119안전센터,경기도 수원시 팔달구 매산로 89,031-639-8520
375,경기,수원남부,지만119안전센터,경기도 수원시 팔달구 경수대로 660,031-639-8530
376,경기,수원남부,서둔119안전센터,경기도 수원시 권선구 서호동로 48,031-639-8540
377,경기,수원남부,고색119안전센터,경기도 수원시 권선구 서부로 1614,031-639-8550
378,경기,수원남부,호매실119안전센터,경기도 수원시 권선구 금곡로 194,031-639-8560
379,경기,성남,수진119안전센터,경기도 성남시 수정구 제일로 111,031-720-0500
380,경기,성남,신흥119안전센터,경기도 성남시 수정구 시민로 151,031-720-0510
381,경기,성남,상대원119안전센터,경기도 성남시 중원구 둔촌대로 469,031-720-0530
382,경기,성남,단대119안전센터,경기도 성남시 수정구 논골로 11번길 7-2,031-720-0520
383,경기,성남,위례119안전센터,경기도 성남시 수정구 헌릉로 1003,031-720-0540
384,경기,성남,태평119안전센터,경기도 성남시 수정구 성남대로 1312,031-720-0550
385,경기,분당,서현119안전센터,경기도 성남시 분당구 양현로 14,031-8018-3500
386,경기,분당,판교119안전센터,경기도 성남시 분당구 대왕판교로644번길 62,031-8018-3510
387,경기,분당,서판교119안전센터,경기도 성남시 분당구 운중로 88,031-8018-3560
388,경기,분당,수내119안전센터,경기도 성남시 분당구 백현로 241,031-8018-3520
389,경기,분당,야탑119안전센터,경기도 성남시 분당구 양현로 485,031-8018-3530
390,경기,분당,구미119안전센터,경기도 성남시 분당구 돌마로 138,031-8018-3550
391,경기,부천,중앙119안전센터,경기도 부천시 신흥로 115 ,032-650-4500
392,경기,부천,오정119안전센터,경기도 부천시 신흥로 499 ,032-650-4510
393,경기,부천,중동119안전센터,경기도 부천시 부일로 346 ,032-650-4520
394,경기,부천,괴안119안전센터,경기도 부천시 부광로8번길 49,032-650-4530
395,경기,부천,원종119안전센터,경기도 부천시 원종로79번길 41 ,032-650-4540
396,경기,부천,상동119안전센터,경기도 부천시 장말로 113 ,032-650-4550
397,경기,부천,서부119안전센터,경기도 부천시 계남로 169 ,032-650-4560
398,경기,부천,범박119안전센터,경기도 부천시 범안로 127,032-650-4570
399,경기,부천,신상119안전센터,경기도 부천시 상동로117번길 36 ,032-650-4580
400,경기,부천,여월119안전센터,경기도 부천시 여월로 62 ,032-650-4590
401,경기,안양,부림119안전센터,경기도 안양시 동안구 관평로212번길 32(관양동),031-470-0500
402,경기,안양,안양119안전센터,경기도 안양시 만안구 현충로 55(안양동),031-470-0510
403,경기,안양,관양119안전센터,경기도 안양시 동안구 동편로13번길 6(관양동),031-470-0530
404,경기,안양,석수119안전센터,경기도 안양시 만안구 석수로 28(석수동),031-470-0540
405,경기,안양,귀인119안전센터,경기도 안양시 동안구 평촌대로 104(평촌동),031-470-0550
406,경기,안양,박달119안전센터,경기도 안양시 만안구 오리로 38(박달동),031-470-0560
407,경기,안산,고잔119안전센터,경기도 안산시 단원구 화랑로 407,031-470-7500
408,경기,안산,원시119안전센터,경기도 안산시 단원구 동산로 31,031-470-7510
409,경기,안산,선부119안전센터,겅기도 안산시 단원구 선부광장서로 43,031-470-7520
410,경기,안산,성곡119안전센터,경기도 안산시 단원구 장자골로 66,031-470-7540
411,경기,안산,월피119안전센터,경기도 안산시 상록구 충장로 645,031-470-7550
412,경기,안산,군자119안전센터,경기도 안산시 단원구 번영1로 45,031-470-7560
413,경기,안산,사동119안전센터,경기도 안산시 상록구 항가울로 230,031-470-7570
414,경기,안산,대부119안전센터,경기도 안산시 단원구 영전로 375,031-470-7580
415,경기,안산,반월119안전센터,경기도 안산시 상록구 건지미길 48,031-470-7590
416,경기,안산,신길119안전센터,경기도 안산시 단원구 삼일로 50,031-470-7480
417,경기,용인,역북119안전센터,경기도 용인시 처인구 명지로 45,031-8021-0500
418,경기,용인,구갈119안전센터,경기도 용인시 기흥구 신구로 74,031-8021-0510
419,경기,용인,수지119안전센터,경기도 용인시 수지구 풍덕천로 177,031-8021-0520
420,경기,용인,양지119안전센터,경기도 용인시 처인구 양지면 남평로 46,031-8021-0530
421,경기,용인,남사119안전센터,경기도 용인시 처인구 남사면 봉무로 13,031-8021-0540
422,경기,용인,포곡119안전센터,경기도 용인시 처인구 포곡읍 포곡로 252,031-8021-0550
423,경기,용인,이동119안전센터,경기도 용인시 처인구 이동면 백옥대로 416-2,031-8021-0560
424,경기,용인,보정119안전센터,경기도 용인시 기흥구 보정로114번길 2,031-8021-0570
425,경기,용인,백암119안전센터,경기도 용인시 처인구 백암면 백암로 247,031-8021-0580
426,경기,용인,동백119안전센터,경기도 용인시 기흥구 동백6로 33,031-8021-0590
427,경기,용인,모현119안전센터,경기도 용인시 처인구 모현면 독점로 31-12,031-8021-0140
428,경기,용인,기흥119안전센터,경기도 용인시 기흥구 한보라1로 128,031-8021-0150
429,경기,평택,비전119안전센터,경기도 평택시 중앙로 273,031-8053-6500
430,경기,평택,안중119안전센터,경기도 평택시 안중읍 안현로서7길 28,031-8053-6530
431,경기,평택,팽성119안전센터,경기도 평택시 팽성읍 팽성화로 172,031-8053-6510
432,경기,평택,포승119안전센터,경기도 평택시 포승읍 평택항로 156번길 11,031-8053-6540
433,경기,송탄,신장119안전센터,경기도 평택시 경기대로 1627(신장동),031-685-8500
434,경기,송탄,진위119안전센터,경기도 평택시 진위면 봉남길 30,031-685-8510
435,경기,송탄,모곡119안전센터,경기도 평택시 산단로64번길 2 (모곡동),031-685-8520
436,경기,송탄,서탄119안전센터,경기도 평택시 서탄면 서탄로 241,031-685-8530
437,경기,송탄,고덕119안전센터,경기도 평택시 고덕면 고덕로 335,031-695-8540
438,경기,송탄,청북119안전센터,경기도 평택시 청북면 현곡산단로 16,031-685-8550
439,경기,광명,소하119안전센터,경기도 광명시 금하로 472,02-2610-3500
440,경기,광명,광명119안전센터,경기도 광명시 사성로 12,02-2610-3510
441,경기,광명,하안119안전센터,경기도 광명시 범안로 1025,02-2610-3520
442,경기,광명,광남119안전센터,경기도 광명시 목감로 34,02-2610-3530
443,경기,시흥,시흥119안전센터,경기도 시흥시 정왕신길로 206,031-310-0500
444,경기,시흥,은행119안전센터,경기도 시흥시 대은로 4,031-310-0510
445,경기,시흥,정왕119안전센터,경기도 공단1대로259번길 1,031-310-0520
446,경기,시흥,연성119안전센터,경기도 시흥시 새재로 29,031-310-0530
447,경기,군포,오금119안전센터,경기도 군포시 고산로 429,031-479-8500
448,경기,군포,산본119안전센터,경기도 군포시 산본로432번길 1,031-479-8510
449,경기,화성,향남119안전센터,경기도 화성시 향남읍 향남로 399 ,031-8012-6500
450,경기,화성,정남119안전센터,경기도 화성시 정남면 정남동로 514,031-8012-6520
451,경기,화성,반송119안전센터,경기도 화성시 동탄반석로 188,031-8012-6530
452,경기,화성,목동119안전센터,경기도 화성시 동탄신리천로 359,031-8012-6460
453,경기,화성,태안119안전센터,경기도 화성시 병점중앙로 148,031-8012-6580
454,경기,화성,남양119안전센터,경기도 화성시 남양읍 남양시장로 48,031-8012-6550
455,경기,화성,봉담119안전센터,경기도 화성시 봉담읍 동화새터길 135,031-8012-6560
456,경기,화성,장안119안전센터,경기도 화성시 장안면 3.1만세로 119,031-8012-6570
457,경기,이천,관고119안전센터,경기도 이천시 경충대로 2739,031-645-5500
458,경기,이천,대월119안전센터,경기도 이천시 경충대로 1973,031-645-5510
459,경기,이천,장호원119안전센터,경기도 이천시 서동대로 8829번길 71,031-645-5520
460,경기,이천,마장119안전센터,경기도 이천시 마장면 중앙로 87,031-645-5530
461,경기,김포,중앙119안전센터,경기도 김포시 감암로 111,031-980-4500
462,경기,김포,양촌119안전센터,경기도 김포시 양곡로 85,031-980-4510
463,경기,김포,마산119안전센터,경기도 김포시 김포한강8로 196,031-980-4570
464,경기,김포,대곶119안전센터,경기도 김포시 대곶면 수남로 104,031-980-4560
465,경기,김포,통진119안전센터,경기도 김포시 통진읍 김포대로 2250,031-980-4520
466,경기,김포,고촌119안전센터,경기도 김포시 고촌읍 은행영사정로 31,031-980-4530
467,경기,김포,하성119안전센터,경기도 김포시 하성면 하성로 404,031-980-4540
468,경기,광주,초월119안전센터,경기도 광주시 초월읍 무들로 112 광주소방서,031-799-2500
469,경기,광주,송정119안전센터,경기도 광주시 수하길 36,031-799-2510
470,경기,광주,오포119안전센터,경기도 광주시 오포읍 오포로 910-5,031-799-2520
471,경기,광주,곤지암119안전센터,경기도 광주시 곤지암읍 도척로 163,031-799-2530
472,경기,광주,능평119안전센터,경기도 광주시 오포읍 대명대길 30,031-799-2540
473,경기,안성,도기119안전센터,경기도 안성시 미양로 855 (도기동),031-678-4500
474,경기,안성,미양119안전센터,경기도 안성시 미양면 제2공단3길 8 (계륵리),031-678-4510
475,경기,안성,죽산119안전센터,경기도 안성시 죽산면 장원공단길 38 (장원리),031-678-4520
476,경기,안성,공도119안전센터,경기도 안성시 공도읍 공도로 111 (만정리),031-678-4530
477,경기,안성,원곡119안전센터,경기도 안성시 원곡면 원곡물류단지로 162-20 (칠곡리),031-678-4540
478,경기,하남,신장119안전센터,경기도 하남시 대청로 76,031-799-4500
479,경기,하남,감북119안전센터,경기도 하남시 초광산단서로 16번길 39,031-799-4510
480,경기,하남,덕풍119안전센터,경기도 하남시 덕풍서로 60,031-799-4530
481,경기,의왕,고천119안전센터,경기도 의왕시 오봉로 9 ,031-596-0500
482,경기,의왕,백운119안전센터,경기도 의왕시 안양판교로 187,031-596-0530
483,경기,의왕,부곡119안전센터,경기도 의왕시 오봉로 289,031-596-0520
484,경기,오산,세교119안전센터,경기도 오산시 문헌공로 30,031-8059-7500
485,경기,오산,원동119안전센터,경기도 오산시 경기대로 99,031-8059-7520
486,경기,오산,청학119안전센터,경기도 오산시 청학로 55-6,031-8059-7510
487,경기,여주,월송119안전센터,경기도 여주시 우암로 110,031-887-8500
488,경기,여주,가남119안전센터,경기도 여주시 가남읍 일신로 32,031-887-8510
489,경기,여주,북내119안전센터,경기도 여주시 북내면 도예로 440,031-887-8520
490,경기,양평,공흥119안전센터,경기도 양평군 양평읍 경강로 2047 ,031-770-0500
491,경기,양평,강상119안전센터,경기도 양평군 강상면 송학길 54 강상119안전센터,031-770-0520
492,경기,양평,용문119안전센터,경기도 양평군 용문면 연수로 64,031-770-0530
493,경기,양평,양서119안전센터,경기도 양평군 양서면 양수리 1161-4,031-770-0546
494,경기,과천,중앙119안전센터,경기도 과천시 통영로 12,02-3314-500
495,경기,과천,과천119안전센터,경기도 과천시 궁말로30,02-3314-510
496,경기북,고양,원당119안전센터,경기도 고양시 덕양구 고양대로 1342,031-931-0500
497,경기북,고양,능곡119안전센터,경기도 고양시 덕양구 토당로 48,031-931-0510
498,경기북,고양,삼송119안전센터,경기도 고양시 덕양구 오금로 14,031-931-0520
499,경기북,고양,행신119안전센터,경기도 고양시 덕양구 소원로 181번길 52,031-931-0530
500,경기북,고양,화전119안전센터,경기도 고양시 덕양구 중앙로 78,031-931-0540
501,경기북,일산,장항119안전센터,경기도 고양시 일산동구 중앙로 1325,031-930-0500
502,경기북,일산,백석119안전센터,경기도 고양시 일산동구 장백로 78,031-930-0510
503,경기북,일산,주엽119안전센터,경기도 고양시 일산서구 주화로 82,031-930-0520
504,경기북,일산,중산119안전센터,경기도 고양시 일산동 중산로 218,031-930-0540
505,경기북,일산,고봉119안전센터,경기도 고양시 일산동 성현로 429,031-930-0550
506,경기북,일산,대화119안전센터,경기도 고양시 일산서구 중앙로 1630,031-930-0570
507,경기북,일산,풍동119안전센터,경기도 고양시 일산동 숲속마을로 10,031-930-0590
508,경기북,일산,문화119안전센터,경기도 고양시 일산동구 태극로 7,031-930-0580
509,경기북,의정부,금오119안전센터,경기도 의정부시 금오로23번길 22-40,031-849-7510
510,경기북,의정부,흥선119안전센터,경기도 의정부시 의정로 48,031-849-7500
511,경기북,의정부,호원119안전센터,경기도 의정부시 평화로 322번길 7,031-849-7520
512,경기북,의정부,송산119안전센터,경기도 의정부시 충의로 90,031-849-7530
513,경기북,남양주,평내119안전센터,경기도 남양주시 평내동 평내로 25,031-590-0500
514,경기북,남양주,진접119안전센터,경기도 남양주시 진접읍 금강로 1509-25,031-590-0520
515,경기북,남양주,진건119안전센터,경기도 남양주시 진건읍 진건오남로 112-21,031-590-0550
516,경기북,남양주,화도119안전센터,경기도 남양주시 화도읍 수레로1260번길 25,031-590-0540
517,경기북,남양주,와부119안전센터,경기도 남양주시 와부읍 덕소로97번길 34-2,031-590-0530
518,경기북,남양주,별내119안전센터,경기도 남양주시 별내동 송산로 793-41,031-590-0560
519,경기북,남양주,오남119안전센터,경기도 남양주시 오남읍 진건오남로 772,031-590-0590
520,경기북,남양주,가운119안전센터,경기도 남양주시 가운동 가운로 16,031-590-0570
521,경기북,파주,통일119안전센터,경기도 파주시 파주읍 통일로 1564 ,031-956-9500
522,경기북,파주,금촌119안전센터,경기도 파주시 가나무로 136  ,031-956-9510
523,경기북,파주,법원119안전센터,경기도 파주시 법원읍 화합로 141,031-956-9520
524,경기북,파주,광탄119안전센터,경기도 파주시 광탄면 혜음로 1040 ,031-956-9530
525,경기북,파주,탄현119안전센터,경기도 파주시 탄현면 필승로 458 ,031-956-9540
526,경기북,파주,월롱119안전센터,경기도 파주시 월롱면 엘씨디로 310 ,031-956-9550
527,경기북,파주,교하119안전센터,경기도 파주시 청석로 301 ,031-956-9560
528,경기북,파주,적성119안전센터,경기도 파주시 적성면 감악산로 1220 ,031-956-9570
529,경기북,파주,운정119안전센터,파주시 와석순환로 90,031-956-9580
530,경기북,구리,교문119안전센터,경기도 구리시 아차산로487번길 46,031-570-6500
531,경기북,구리,인창119안전센터,경기도 건원대로34번길 28,031-570-6510
532,경기북,구리,갈매119안전센터,경기도 구리시 산마루로68,031-570-6520
533,경기북,포천,군내119안전센터,경기도 포천시 호국로 1538,031-538-5500
534,경기북,포천,소흘119안전센터,경기도 포천시 소흘읍 송우로 182,031-538-5510
535,경기북,포천,영북119안전센터,경기도 포천시 영북면 영북로 144,031-538-5520
536,경기북,포천,일동119안전센터,경기도 포천시 일동면 영일로 978,031-538-5530
537,경기북,포천,가산119안전센터,경기도 포천시 포천로 890,031-538-5540
538,경기북,포천,내촌119안전센터,경기도 포천시 내촌면 내촌로 120,031-538-5550
539,경기북,포천,영중119안전센터,경기도 포천시 영중면 양문로 66,031-538-5560
540,경기북,포천,선단119안전센터,경기도 포천시 호국로 1007-33,031-538-5570
541,경기북,양주,백석119안전센터,경기도 양주시 꿈나무로 156,031-849-8500
542,경기북,양주,회천119안전센터,경기도 양주시 화합로 1272,031-849-8510
543,경기북,양주,광적119안전센터,경기도 양주시 광적면 광적로 55,031-849-8520
544,경기북,양주,고읍119안전센터,경기도 양주시 고덕로 266,031-849-8530
545,경기북,양주,남면119안전센터,경기도 양주시 남면 삼육사로 247,031-849-8540
546,경기북,양주,장흥119안전센터,경기도 양주시 장흥면 일영로 794,031-849-8550
547,경기북,양주,옥정119안전센터,경기도 양주시 옥정로 8길 52,031-849-8560
548,경기북,동두천,불현119안전센터,경기도 동두천시 지행로 6,031-830-5500
549,경기북,동두천,소요119안전센터,경기 동두천시 평화로2910번길 65,031-830-5510
