UNDP_국가명,WB_국가명,ISO3_국가코드,DAC_국가코드,WB_지역,KOICA_국가명_국문,KOICA_지역명_국문,KOICA_지역명_영문,KOICA_지역명_부서,국가협력전략 대상국가,KOICA 사무소 주재 여부,겸임국 관할 사무소명,OECD_국가명,OECD소득 기준,인구수_기준연도,인구수,GDP_기준연도,1인당 국내총생산,국민총생산 기준연도,1인당 국민총생산,빈곤율 기준연도,빈곤율,지니계수 기준연도,지니계수,문해율 기준연도,문해율,중등학교 등록율(여학생) 기준연도,중등학교 등록율(여학생),중등학교 등록률(남학생) 기준연도,중등학교 등록율(남학생),중등학교 등록율 젠더 패리티 인덱스 기준연도,중등학교 등록율 젠더 패리티 인덱스,세금 기준연도,세금,ODA 순 수원액 기준연도,ODA 순 수원액,기업여건 기준연도,기업여건,해외직접투자 기준연도,해외직접투자,100명당 이동통신 사용률 기준연도,100명당 이동통신 사용률,1인당 전기 소비량 기준연도,1인당 전기 소비량,인터넷 사용률 기준연도,인터넷 사용률,취약국가 지수 기준연도,취약국가 지수,취약국가 순위,부패인식지수 기준연도,부패인식점수,부패인식순위,전자정부 지수 기준연도,전자정부 지수 순위,전자정부지수,인간개발지수 기준연도,인간개발지수순위,인간개발지수,젠더개발지수 기준연도,젠더개발지수,젠더 불평등 지수 기준연도,젠더 불평등 지수,여성국회의원 비율 기준연도,여성국회의원 비율,여성실업률 기준연도,여성실업률,ODA 규모 기준연도,수원국 ODA 규모,양자 지원 규모,GNI 대비 ODA 비율,한국 ODA 규모 기준연도,한국 ODA 규모,KOICA 지원 규모_공공행정,KOICA 지원 규모_교육,KOICA 지원 규모_기술환경에너지,KOICA 지원 규모_기타,KOICA 지원 규모_긴급구호,KOICA 지원 규모_농림수산,KOICA 지원 규모_보건,KOICA 지원 규모_전체
Guatemala,Guatemala,GTM,347,Latin America & Caribbean,과테말라,중남미,Latin America,중남미,no,yes,과테말라 사무소,Guatemala,LMIC,2020,16900000 ,2020,4603.34,2020,4490,2014,8.8,2014,48.3,2014,81.2859,2019,50.11747,2019,52.14148,2019,0.96118,2019,10.45602,2019,0.5209069,2019,96,2019,1170000000 ,2019,118.728,2014,601.1897,2017,40.70305,2020,79.17635,58,2019,26,146,2020,121,0.5155,2019,127,0.663,2019,0.941,2019,0.479,2020,19.375,2019,3.42,2019,421,79,1,2019,7,18700000,15900000,3202146,997911,1360910,9354346,12300000,61800000
Haiti,Haiti,HTI,349,Latin America & Caribbean,아이티,중남미,Latin America,중남미,no,no,도미니카 공화국 사무소,Haiti,LDC,2020,11400000 ,2020,1176.756,2020,1250,2012,24.5,2012,41.1,2016,61.69135,,,,,,,,,2019,5.051308,2019,179,2019,75000000 ,2019,60.75942,2014,39.05581,2018,32.47363,2020,97.679,13,2019,18,168,2020,180,0.2723,2019,170,0.51,2019,0.875,2019,0.636,2019,2.542373,2019,16.25,2019,761,56,9,2019,3,7607039,7765185,6957095,83954,3344890,544671,1401350,27700000
Honduras,Honduras,HND,351,Latin America & Caribbean,온두라스,중남미,Latin America,중남미,no,no,과테말라 사무소,Honduras,LMIC,2020,9904608 ,2020,2405.733,2020,2200,2019,14.8,2019,48.2,2018,87.20524,2019,70.19013,2019,62.44866,2019,1.12397,2015,17.34447,2019,1.974394,2019,133,2019,955000000 ,2019,77.5676,2014,619.8371,2017,32.13636,2020,76.78898,64,2019,26,146,2020,138,0.4486,2019,132,0.634,2019,0.978,2019,0.423,2020,21.09375,2019,7.13,2019,1004,48,2,2019,23,10200000,11300000,6362162,417153,383899,748592,2262077,31700000
Belize,Belize,BLZ,352,Latin America & Caribbean,벨리즈,중남미,Latin America,중남미,no,no,엘살바도르 사무소,Belize,UMIC,2020,397621 ,2020,4435.621,2020,3970,1999,13.9,1999,53.3,2000,76.90298,2019,87.18951,2019,85.59892,2019,1.01858,2017,26.02714,2019,2.064446,2019,135,2019,93900000 ,2019,65.30474,,,2017,47.08263,2020,60.79467,114,,,,2020,136,0.4548,2019,110,0.716,2019,0.976,2019,0.415,2020,9.677419,2019,9.66,2019,64,25,2,2019,0,1369060,937298,472970,26021,107807,17287,214716,3145158
Jamaica,Jamaica,JAM,354,Latin America & Caribbean,자메이카,중남미,Latin America,중남미,no,no,도미니카 공화국 사무소,Jamaica,UMIC,2020,2961161 ,2020,4664.529,2020,4620,2004,1.7,2004,45.5,2014,88.1,2019,86.1338,2019,84.60651,2019,1.01805,2019,27.45394,2019,0.8239274,2019,71,2019,665000000 ,2019,102.564,2014,1050.733,2017,55.07207,2020,60.02495,116,2019,43,74,2020,114,0.5392,2019,101,0.734,2019,0.994,2019,0.396,2020,28.57143,2019,9.94,2019,217,52,1,2019,0,1391998,1350986,2209284,155109,162621,1519736,1229907,8019640
Mexico,Mexico,MEX,358,Latin America & Caribbean,멕시코,중남미,Latin America,중남미,no,no,과테말라 사무소,Mexico,UMIC,2020,129000000 ,2020,8346.702,2020,8480,2018,1.7,2018,45.4,2018,95.37991,2018,109.5876,2018,100.7587,2018,1.08762,2019,13.14822,2019,0.0434764,2019,60,2019,29400000000 ,2019,95.6616,2014,2157.324,2019,70.06991,2020,67.2,98,2019,29,130,2020,61,0.7291,2019,74,0.779,2019,0.96,2019,0.322,2020,48.2,2019,3.52,2019,13297,95,0,2019,1,168684,91586,85020,10217,815415,50114,1078972,2300008
Nicaragua,Nicaragua,NIC,364,Latin America & Caribbean,니카라과,중남미,Latin America,중남미,no,no,엘살바도르 사무소,Nicaragua,LMIC,2020,6624554 ,2020,1905.257,2020,1850,2014,3.4,2014,46.2,2015,82.61455,2010,77.95794,2010,69.13564,2010,1.12761,2019,17.5431,2019,3.204988,2019,142,2019,503000000 ,2019,88.43374,2014,568.3137,2017,27.86304,2020,77.07751,62,2019,22,161,2020,123,0.5139,2019,128,0.66,2019,1.012,2019,0.428,2020,47.25275,2019,5.16,2019,418,38,3,2019,46,6669994,5203398,945852,238187,554458,3252772,571050,17400000
Pama,Pama,PAN,366,Latin America & Caribbean,파나마,중남미,Latin America,중남미,no,no,엘살바도르 사무소,Pama,UMIC,2020,4314768 ,2020,12269.05,2020,11880,2019,1.2,2019,49.8,2018,95.41181,2017,78.2784,2017,74.07363,2017,1.05676,2018,9.94374,2019,0.1147296,2019,86,2019,5890000000 ,2019,131.8518,2014,2064.178,2019,63.62841,2020,45.98191,140,2019,36,101,2020,84,0.6715,2019,57,0.815,2019,1.019,2019,0.407,2020,22.53521,2019,5.82,2019,1808,67,0,2019,0,4540500,2224404,622011,17431,261117,246986,1464000,9376449
Antigua and Barbuda,Antigua and Barbuda,ATG,377,Latin America & Caribbean,안티구아 바부다,중남미,Latin America,중남미,no,no,도미니카 공화국 사무소,Antigua and Barbuda,UMIC,2020,97928 ,2020,14450,2020,14250,,,,,2015,98.95,2018,109.0701,2018,113.2773,2018,0.96286,,,2019,1.763601,2019,113,2019,139000000 ,2017,192.8196,,,2016,73,2020,52.06235,127,,,,2020,98,0.6055,2019,78,0.778,,,,,2020,11.11111,,,2019,26,27,2,2019,0,1183887,13318,165177,8650,39966,,137288,1548286
Dominica,Dominica,DMA,378,Latin America & Caribbean,도미니카연방,중남미,Latin America,중남미,no,no,도미니카 공화국 사무소,Dominica,UMIC,2020,71991 ,2020,6526.793,2020,6870,,,,,,,2019,102.2448,2019,99.9184,2019,1.02328,,,2019,9.100095,2019,111,2019,32600000 ,2018,105.7885,,,2017,69.61967,1960,,,2019,55,48,2020,99,0.6013,2019,94,0.742,,,,,2020,34.375,,,2019,43,11,9,2019,0,1029599,116919,199971,14655,70809,108833,86405,1627190
Greda,Greda,GRD,381,Latin America & Caribbean,그레나다,중남미,Latin America,중남미,no,no,도미니카 공화국 사무소,Greda,UMIC,2020,112519 ,2020,9680.176,2020,8740,,,,,2014,98.6,2018,122.0999,2018,118.2169,2018,1.03285,,,2019,1.343077,2019,146,2019,131000000 ,2018,104.2439,,,2017,59.07174,2020,55.24685,125,2019,53,51,2020,102,0.5812,2019,74,0.779,,,,,2020,46.66667,,,2019,18,7,1,2019,0,883117,80690,279075,9591,60106,86009,172342,1570930
Saint Lucia,St. Lucia,LCA,383,Latin America & Caribbean,세인트루시아,중남미,Latin America,중남미,no,no,도미니카 공화국 사무소,Saint Lucia,UMIC,2020,183629 ,2020,9276.118,2020,8790,2016,4.6,2016,51.2,,,2019,88.6277,2019,91.0857,2019,0.97301,2017,18.21977,2019,1.599103,2019,93,2019,30600000 ,2018,101.6796,,,2017,50.81524,1960,,,2019,55,48,2020,112,0.5444,2019,86,0.759,2019,0.985,2019,0.401,2020,16.66667,2019,17.18,2019,52,18,2,2019,0,962416,57631,314814,,181296,40220,259299,1815676
Saint Vincent and the Gredines,St. Vincent and the Gredines,VCT,384,Latin America & Caribbean,세인트빈센트,중남미,Latin America,중남미,no,no,도미니카 공화국 사무소,Saint Vincent and the Gredines,UMIC,2020,110947 ,2020,7297.912,2020,7340,,,,,1970,95.63216,2018,108.675,2018,105.8749,2018,1.02645,2017,25.35766,2019,10.32887,2019,130,2019,113000000 ,2019,92.86638,,,2016,20.68944,1960,,,2019,59,39,2020,109,0.5605,2019,97,0.738,2019,0.965,,,2020,18.18182,2019,16.58,2019,82,10,10,2019,0,953166,249780,32332,9336,,,389366,1633979
Argenti,Argenti,ARG,425,Latin America & Caribbean,아르헨티나,중남미,Latin America,중남미,no,no,파라과이 사무소,Argenti,UMIC,2020,45400000 ,2020,8441.919,2020,8930,2019,1.5,2019,42.9,2018,99.00387,2017,111.0335,2017,106.5118,2017,1.04245,2019,10.64932,2019,0.0042679,2019,126,2019,6660000000 ,2019,125.8421,2014,3074.702,2017,74.29491,2020,46.08795,138,2019,45,66,2020,32,0.8279,2019,46,0.845,2019,0.993,2019,0.328,2020,40.85603,2019,10.7,2019,3488,23,0,2019,0,280653,2474,63663,,30229,134134,76793,587947
Bolivia (Pluritiol State of),Bolivia,BOL,428,Latin America & Caribbean,볼리비아,중남미,Latin America,중남미,yes,yes,볼리비아. 사무소,Bolivia (Pluritiol State of),LMIC,2020,11700000 ,2020,3143.045,2020,3200,2019,3.2,2019,41.6,2015,92.45508,2018,88.75827,2018,90.65176,2018,0.97911,2007,16.96487,2019,1.787805,2019,150,2019,-217000000 ,2019,101.5263,2014,742.5384,2018,44.28614,2020,74.96687,70,2019,31,123,2020,97,0.6129,2019,107,0.718,2019,0.945,2019,0.417,2020,46.15385,2019,3.54,2019,1116,43,2,2019,20,12800000,7261773,8049580,1342503,61552,18000000,43400000,90900000
Brazil,Brazil,BRA,431,Latin America & Caribbean,브라질,중남미,Latin America,중남미,no,no,파라과이 사무소,Brazil,UMIC,2020,213000000 ,2020,6796.845,2020,7850,2019,4.6,2019,53.4,2018,93.2275,2011,99.85424,2011,90.85149,2011,1.09909,2019,13.73616,2019,0.0158811,2019,124,2019,69200000000 ,2019,95.71653,2014,2619.96,2018,70.43428,2020,72.99411,75,2019,35,106,2020,54,0.7677,2019,84,0.765,2019,0.993,2019,0.408,2020,14.61988,2019,14.14,2019,10195,91,0,2019,1,116923,,82519,,552,98695,,298689
Colombia,Colombia,COL,437,Latin America & Caribbean,콜롬비아,중남미,Latin America,중남미,yes,yes,콜롬비아 사무소,Colombia,UMIC,2020,50900000 ,2020,5332.774,2020,5780,2019,4.9,2019,51.3,2018,95.09251,2018,100.0915,2018,95.03002,2018,1.05326,2019,15.07137,2019,0.2853441,2019,67,2019,14300000000 ,2019,131.6724,2014,1312.199,2019,65.0069,2020,76.61419,65,2019,37,96,2020,67,0.7164,2019,83,0.767,2019,0.989,2019,0.428,2020,18.3432,2019,12.76,2019,3627,86,0,2019,43,19300000,11100000,19100000,1426678,2310489,13600000,22200000,89000000
Ecuador,Ecuador,ECU,440,Latin America & Caribbean,에콰도르,중남미,Latin America,중남미,no,yes,에콰도르 사무소,Ecuador,UMIC,2020,17600000 ,2020,5600.39,2020,5530,2019,3.6,2019,45.7,2017,92.82979,2018,102.8441,2018,100.0829,2018,1.02759,,,2019,0.499668,2019,129,2019,962000000 ,2019,91.24789,2014,1376.394,2016,54.06292,2020,69.40303,89,2019,38,93,2020,74,0.7015,2019,86,0.759,2019,0.967,2019,0.384,2020,39.41606,2019,4.6,2019,2808,70,1,2019,24,17900000,22200000,22900000,1106355,374681,12500000,14300000,91300000
Guya,Guya,GUY,446,Latin America & Caribbean,가이아나,중남미,Latin America,중남미,no,no,콜롬비아 사무소,Guya,UMIC,2020,786559 ,2020,6955.939,2020,6600,1998,11.8,1998,45.1,2014,85.63973,2012,99.2102,2012,96.28949,2012,1.03033,,,2019,2.20923,2019,134,2019,1700000000 ,2017,82.97107,,,2017,37.32584,2020,65.95106,101,2019,40,85,2020,129,0.4909,2019,122,0.682,2019,0.961,2019,0.462,2020,35.71429,2019,16.46,2019,1479,46,3,2019,0,2099751,50068,,,39804,16882,98548,2305053
Paraguay,Paraguay,PRY,451,Latin America & Caribbean,파라과이,중남미,Latin America,중남미,yes,yes,파라과이 사무소,Paraguay,UMIC,2020,7132530 ,2020,4949.75,2020,5140,2019,0.9,2019,45.7,2018,94.0208,2012,78.644,2012,73.30059,2012,1.0729,2019,10.00061,2019,0.3531805,2019,125,2019,596000000 ,2019,110.181,2014,1552.385,2019,68.51763,2020,65.17819,104,2019,28,137,2020,93,0.6487,2019,103,0.728,2019,0.966,2019,0.446,2020,16.25,2019,8.34,2019,224,55,0,2019,14,26200000,32100000,27100000,1446023,1341641,7889151,33400000,129000000
Peru,Peru,PER,454,Latin America & Caribbean,페루,중남미,Latin America,중남미,yes,yes,페루 사무소,Peru,UMIC,2020,33000000 ,2020,6126.875,2020,6010,2019,2.2,2019,41.5,2018,94.40827,2019,105.5985,2019,112.144,2019,0.94163,2019,14.51603,2019,0.2176537,2019,76,2019,8890000000 ,2018,131.7779,2014,1345.879,2019,59.9505,2020,67.62811,97,2019,36,101,2020,71,0.7083,2019,79,0.777,2019,0.957,2019,0.395,2020,26.15385,2019,3.28,2019,630,89,0,2019,17,26200000,31100000,17300000,2298840,1432621,3593014,51000000,133000000
Surime,Surime,SUR,457,Latin America & Caribbean,수리남,중남미,Latin America,중남미,no,no,콜롬비아 사무소,Surime,UMIC,2020,586634 ,2020,6491.139,2020,5510,1999,21.1,1999,57.9,2018,94.38327,2015,88.63937,2015,67.06223,2015,1.32175,,,2019,0.6144804,2019,162,2019,72400000 ,2019,139.9868,2014,3596.745,2017,48.94517,2020,60.12231,115,2019,44,70,2020,122,0.5154,2019,97,0.738,2019,0.985,2019,0.436,2020,29.41176,2019,11.33,2019,251,34,1,,,1037067,6490,44454,8130,20073,52890,293738,1462843
Venezuela (Bolivarian Republic of),Venezuela,VEN,463,Latin America & Caribbean,베네수엘라,중남미,Latin America,중남미,no,no,콜롬비아 사무소,Venezuela (Bolivarian Republic of),UMIC,2020,28400000 ,2014,16055.65,2014,13080,2006,6.7,2006,44.8,2016,97.12709,2017,91.56483,2017,84.73322,2017,1.08062,,,2014,0.0090432,2019,188,2019,934000000 ,2019,47.25897,2014,2719.138,2017,64.31336,2020,91.15759,28,2019,16,173,2020,118,0.5268,2019,113,0.711,2019,1.009,2019,0.479,2020,22.15569,2019,7.72,2019,-267,63,,2019,1,527187,88598,141438,,280038,135693,418567,1591521
Iran (Islamic Republic of),Iran,IRN,540,Middle East & North Africa,이란,중동중앙아,Middle East and Central Asia,중동중앙아,no,no,이라크 사무소,Iran (Islamic Republic of),UMIC,2020,84000000 ,2020,2282.552,2020,2870,2018,0.5,2018,42,2016,85.54425,2017,84.65444,2017,87.9016,2017,0.96306,2009,7.358478,2019,0.0814104,2019,127,2019,1510000000 ,2019,142.3904,2014,3022.122,2018,70.00455,2020,83.38661,44,2019,26,146,2020,89,0.6593,2019,70,0.783,2019,0.866,2019,0.459,2020,5.594406,2019,18.12,2019,-221,76,,2019,4,1067737,6001854,541512,68229,770870,262140,754421,9466762
Iraq,Iraq,IRQ,543,Middle East & North Africa,이라크,중동중앙아,Middle East and Central Asia,중동중앙아,no,yes,이라크 사무소,Iraq,UMIC,2020,40200000 ,2020,4157.484,2020,4660,2012,1.7,2012,29.5,2017,85.6,2007,46.00391,2007,61.39152,2007,0.74935,2019,1.412308,2019,0.9996513,2019,172,2019,-3080000000 ,2019,94.69592,2014,1328.23,2018,75,2020,95.94117,17,2019,20,162,2020,143,0.436,2019,123,0.674,2019,0.774,2019,0.577,2020,26.44377,2019,30.59,2019,1041,80,1,2019,17,122000000,97200000,44500000,2142931,23200000,4150674,74800000,368000000
Jordan,Jordan,JOR,549,Middle East & North Africa,요르단,중동중앙아,Middle East and Central Asia,중동중앙아,no,yes,요르단 사무소,Jordan,LMIC,2020,10200000 ,2020,4282.766,2020,4310,2010,0.1,2010,33.7,2018,98.22711,2019,66.00149,2019,64.4016,2019,1.02484,2019,14.81404,2019,6.284357,2019,75,2019,825000000 ,2019,77.00461,2014,1864.932,2017,66.79031,2020,75.42853,67,2019,48,60,2020,117,0.5309,2019,102,0.729,2019,0.875,2019,0.45,2020,11.53846,2019,23.81,2019,3942,83,6,2019,27,15800000,42900000,4902401,990425,8125,678848,18100000,83300000
"Palestine, State of",West Bank and Gaza,PSE,550,Middle East & North Africa,팔레스타인,중동중앙아,Middle East and Central Asia,중동중앙아,no,yes,팔레스타인 사무소,"Palestine, State of",LMIC,2020,4803269 ,2020,3239.731,2020,3710,2016,0.8,2016,33.7,2018,97.21861,2019,94.95926,2019,86.54762,2019,1.09719,,,2019,11.0804,2019,117,2019,122000000 ,2019,86.32539,,,2019,70.62261,1960,,,,,,,,,,,,,,,,,,2019,41.14,2019,2236,67,,2019,6,23200000,33600000,2412441,661936,3878578,624107,9048404,73500000
Lebanon,Lebanon,LBN,555,Middle East & North Africa,레바논,중동중앙아,Middle East and Central Asia,중동중앙아,no,no,요르단 사무소,Lebanon,UMIC,2020,6825442 ,2020,4891.001,2020,5510,2011,,2011,31.8,2018,95.06944,1985,60.11933,1985,62.25544,1985,0.96569,2019,15.29111,2019,2.969447,2019,143,2019,2220000000 ,2019,61.8165,2014,2588.865,2017,78.18077,2020,84.72043,40,2019,28,137,2020,127,0.4955,2019,92,0.744,2019,0.892,2019,0.411,2020,4.6875,2019,9.77,2019,1502,65,3,2019,2,2386124,5358194,362878,101905,1217783,1842685,830982,12100000
Syrian Arab Republic,Syrian Arab Republic,SYR,573,Middle East & North Africa,시리아,중동중앙아,Middle East and Central Asia,중동중앙아,no,no,요르단 사무소,Syrian Arab Republic,LMIC,2020,17500000 ,2007,2032.623,2007,1820,2003,0.9,2003,37.5,2004,80.84452,2013,52.38136,2013,52.67416,2013,0.99444,,,2007,0.2120063,2019,176,2011,804000000 ,2019,113.5762,2014,974.5755,2017,34.2534,2020,110.7497,4,2019,13,178,2020,131,0.4763,2019,151,0.567,2019,0.829,2019,0.482,2020,11.2,2019,20.37,2019,10232,94,,2019,10,1189314,1895035,54386,36219,9891780,46364,2009842,15100000
Yemen,Yemen,YEM,580,Middle East & North Africa,예멘,중동중앙아,Middle East and Central Asia,중동중앙아,no,no,요르단 사무소,Yemen,LDC,2020,29800000 ,2018,824.1177,2018,940,2014,18.3,2014,36.7,2004,54.1,2016,43.25849,2016,59.60209,2016,0.72579,,,2018,34.02466,2019,187,2019,-371000000 ,2018,53.67893,2014,219.7999,2017,26.71835,2020,112.4387,1,2019,15,177,2020,173,0.3045,2019,179,0.47,2019,0.488,2019,0.795,2020,0.3322259,2019,25.25,2019,4681,66,,2019,18,2527685,954517,572234,69432,3568935,88087,1468993,9249884
Armenia,Armenia,ARM,610,Europe & Central Asia,아르메니아,중동중앙아,Middle East and Central Asia,중동중앙아,no,no,본부,Armenia,LMIC,2020,2963234 ,2020,4267.452,2020,4220,2019,1.1,2019,29.9,2017,99.73607,2019,88.88324,2019,84.38041,2019,1.05336,2019,22.19795,2019,3.019524,2019,47,2019,254000000 ,2019,122.3488,2014,1961.61,2018,68.24505,2020,64.2,108,2019,42,77,2020,68,0.7136,2019,81,0.776,2019,0.982,2019,0.245,2020,23.48485,2019,20.27,2019,753,29,3,2019,0,2538641,168081,164221,11028,,51073,160989,3094034
Azerbaijan,Azerbaijan,AZE,611,Europe & Central Asia,아제르바이잔,중동중앙아,Middle East and Central Asia,중동중앙아,no,yes,아제르바이잔 사무소,Azerbaijan,UMIC,2020,10100000 ,2020,4214.311,2020,4450,2005,,2005,26.6,2017,99.79123,2019,94.66228,2019,94.87436,2019,0.99776,2019,14.21885,2019,0.2623543,2019,34,2019,1500000000 ,2019,106.9925,2014,2202.394,2018,79.8,2020,71.28216,78,2019,30,126,2020,70,0.71,2019,88,0.756,2019,0.943,2019,0.323,2020,17.35537,2019,5.73,2019,947,85,0,2019,21,14900000,8620274,36900000,395591,165495,3705840,332387,65000000
Georgia,Georgia,GEO,612,Europe & Central Asia,조지아,기타,Others,중동중앙아,no,no,본부,Georgia,LMIC,2020,3714000 ,2020,4278.861,2020,4290,2019,3.8,2019,35.9,2017,99.36426,2019,106.7527,2019,105.8918,2019,1.00813,2019,19.62453,2019,2.97455,2019,7,2019,1340000000 ,2019,134.7205,2014,2693.973,2019,68.84671,2020,71.1523,80,2019,56,44,2020,65,0.7174,2019,61,0.812,2019,0.98,2019,0.331,2020,20.66667,2019,10.15,2019,1132,60,3,2019,0,688881,370336,291375,,153741,24742,32826,1561902
Kazakhstan,Kazakhstan,KAZ,613,Europe & Central Asia,카자흐스탄,중동중앙아,Middle East and Central Asia,중동중앙아,no,no,본부,Kazakhstan,UMIC,2020,18800000 ,2020,9055.745,2020,8680,2018,,2018,27.8,2018,99.78163,2019,113.793,2019,112.6905,2019,1.00978,2019,11.78694,2019,0.0342256,2019,25,2019,3320000000 ,2019,138.6292,2014,5600.208,2019,81.87763,2020,59.7701,117,2019,34,113,2020,29,0.8375,2019,51,0.825,2019,0.98,2019,0.19,2020,27.1028,2019,5.32,2019,-1022,74,0,2019,2,8520029,13600000,2195867,437554,236420,335635,8721091,34000000
