번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총직원수
1,부화업,02_04_04_P,4610000,4.61E+17,1994.4.22,,1,영업/정상,0,정상,,,,,,0,340-863,충청남도 예산군 신암면 신택리 ***-**번지 외*필지,충청남도 예산군 신암면 추사고택로 ***-** (외*필지),,신흥,2015.3.29 17:08,I,2018.8.31 23:59,,182891.2371,362224.588,부화업,,576,0,
2,부화업,02_04_04_P,4610000,4.61E+17,2010.12.26,,1,영업/정상,0,정상,,,,,,0,340-823,충청남도 예산군 신양면 차동리 ** 외 *필지,,,농업회사법인 한흥부화장 주식회사,2022.7.6 10:45,U,2022.7.8 2:40,,193157.1741,343358.3266,부화업,,1748,L00,0
3,부화업,02_04_04_P,4610000,4.61E+17,2014.1.10,,1,영업/정상,0,정상,,,,,,,340-864,충청남도 예산군 신암면 용궁리 *** *통,충청남도 예산군 신암면 추사고택로 ***-*,32417,신흥부화장,2023.6.22 17:30,U,2023.6.24 2:40,,182076.8541,361666.9548,부화업,,2168,0,0
4,부화업,02_04_04_P,4610000,4.61E+17,2014.9.15,,1,영업/정상,0,정상,,,,,,,340-811,충청남도 예산군 대술면 장복리 산 **,충청남도 예산군 대술면 대술동로 ** (장복리 산 **),32443,농업회사법인 (주)한국원종 예산부화장,2021.7.21 11:16,U,2021.7.23 2:40,,,,부화업,,2284,L00,0
5,부화업,02_04_04_P,4610000,4.61E+17,2015.1.27,,1,영업/정상,0,정상,,,,,,,340-935,충청남도 예산군 고덕면 상궁리 ***-*,충청남도 예산군 고덕면 상궁*길 ***,32401,(주)마니커 예산지점,2021.4.19 16:53,U,2021.4.21 2:40,,177648.2391,362531.0038,부화업,,2315,L00,
6,부화업,02_04_04_P,4580000,4.58E+17,2005.1.4,,1,영업/정상,0,정상,,,,,041-951-1073,0,325-832,충청남도 서천군 기산면 신산리 **-*번지,충청남도 서천군 기산면 신막로 *-*,33628,기산부화장,2013.12.26 10:07,I,2018.8.31 23:59,,178476.4415,286131.8909,부화업,,67,0,
7,부화업,02_04_04_P,4600000,4.6E+17,2002.9.24,,1,영업/정상,0,정상,,,,,041-641-1048,49587,350-901,충청남도 홍성군 광천읍 담산리 ***-*번지,,,농업회사법인한국양계주식회사,2019.5.13 9:05,U,2019.5.15 2:40,,167556.2232,330562.7915,부화업,,62,L00,
8,부화업,02_04_04_P,4600000,4.6E+17,2004.11.25,,1,영업/정상,0,정상,,,,,041-633-2907,0,350-834,충청남도 홍성군 홍북읍 봉신리 산 **-**,,,광천부화장,2021.8.30 8:14,U,2021.9.1 2:40,,,,부화업,,235,0,0
9,부화업,02_04_04_P,4600000,4.6E+17,2013.11.28,,1,영업/정상,0,정상,,,,,,,350-842,경기도 용인시 기흥구 신갈동 ***,충청남도 홍성군 구항면 구성북로 ***-**,32213,농업회사법인(주)에버그린,2022.9.27 10:52,U,2022.9.29 2:40,,164573.5491,344507.5524,부화업,,3400,L00,0
10,부화업,02_04_04_P,5060000,5.06E+17,2012.11.26,,1,영업/정상,0,정상,,,,,,,740-841,경상북도 김천시 개령면 남전리 ***번지,경상북도 김천시 개령면 개령로 ***-**,39514,해오름부화장,2019.10.8 11:45,U,2019.10.10 2:40,,307059.6414,299445.1739,부화업,,1344,0,
11,부화업,02_04_04_P,4540000,4.54E+17,2004.6.22,,1,영업/정상,0,정상,,,,,041-741-5557,0,320-838,충청남도 논산시 연무읍 안심리 ***-**번지,충청남도 논산시 연무읍 연무로 ***-**,33008,하림 연무부화장,2018.8.22 15:29,I,2018.8.31 23:59,,208150.6834,292472.3123,부화업,,9,L00,
12,부화업,02_04_04_P,4540000,4.54E+17,2004.6.22,,1,영업/정상,0,정상,,,,,,0,320-833,충청남도 논산시 연무읍 동산리 ***-*번지 외*필지,충청남도 논산시 연무읍 행정*길 ** (외*필지),,상일부화장,2017.1.12 15:58,I,2018.8.31 23:59,,211411.365,292636.8172,부화업,,10,L00,
13,부화업,02_04_04_P,4540000,4.54E+17,2004.6.22,,1,영업/정상,0,정상,,,,,,0,320-836,충청남도 논산시 연무읍 소룡리 ***-*번지,충청남도 논산시 연무읍 소룡길 ** (논산부화장),33016,다원부화장,2020.6.10 8:48,U,2020.6.12 2:40,,211966.0951,289365.9367,부화업,,11,0,
14,부화업,02_04_04_P,4540000,4.54E+17,2004.6.22,,1,영업/정상,0,정상,,,,,741-2600,0,320-812,충청남도 논산시 채운면 화정리 ***-*번지,충청남도 논산시 채운면 화정길 **,,강경부화장,2013.11.30 20:06,I,2018.8.31 23:59,,205957.0661,293705.4321,부화업,,15,L00,
15,부화업,02_04_04_P,4540000,4.54E+17,2011.9.20,,1,영업/정상,0,정상,,,,,,,320-833,충청남도 논산시 연무읍 동산리 ***-*번지,충청남도 논산시 연무읍 동안로 ****,,신기부화장,2016.12.13 15:11,I,2018.8.31 23:59,,211200.1767,292013.7771,부화업,,958,0,
16,부화업,02_04_04_P,4540000,4.54E+17,2013.12.24,,1,영업/정상,0,정상,,,,,,,320-812,충청남도 논산시 채운면 심암리 **번지,,,계룡부화장,2016.11.23 13:20,I,2018.8.31 23:59,,207440.3017,293832.6147,부화업,,1128,0,
17,부화업,02_04_04_P,4520000,4.52E+17,2014.2.12,,1,영업/정상,0,정상,,,,,,,336-873,충청남도 아산시 둔포면 산전리 ***-*번지,충청남도 아산시 둔포면 관대길**번길 **,31411,요한부화장,2014.2.12 21:54,I,2018.8.31 23:59,,203453.5856,377688.5331,부화업,,1289,0,
18,부화업,02_04_04_P,4520000,4.52E+17,2008.5.26,,1,영업/정상,0,정상,,,,,,,336-871,충청남도 아산시 둔포면 운교리 *-*번지,,,성호부화장,2015.1.12 17:38,I,2018.8.31 23:59,,204768.189,379625.6215,부화업,,1336,0,
19,부화업,02_04_04_P,4520000,4.52E+17,2008.5.26,,1,영업/정상,0,정상,,,,,,,336-871,충청남도 아산시 둔포면 운교리 *-*번지,,,성호부화장,2015.1.12 18:05,I,2018.8.31 23:59,,204768.189,379625.6215,부화업,,1337,0,
20,부화업,02_04_04_P,4520000,4.52E+17,2010.2.9,,1,영업/정상,0,정상,,,,,,0,336-875,충청남도 아산시 둔포면 염작리 ***-*번지,,,두경부화장,2017.8.14 11:42,I,2018.8.31 23:59,,206420.7548,380048.7756,부화업,,1074,0,
21,부화업,02_04_04_P,4500000,4.5E+17,1990.5.7,,1,영업/정상,0,정상,,,,,,0,,충청남도 공주시 우성면 신웅리 **번지,,,신웅부화장,2003.4.10 10:20,I,2018.8.31 23:59,,,,부화업,,,0,
22,부화업,02_04_04_P,4500000,4.5E+17,1990.5.7,,1,영업/정상,0,정상,,,,,,1320,,충청남도 공주시 우성면 귀산리 **번지,,,귀산부화장,2003.4.10 10:37,I,2018.8.31 23:59,,,,부화업,,,0,
23,부화업,02_04_04_P,4500000,4.5E+17,1992.5.7,,1,영업/정상,0,정상,,,,,,1320,,충청남도 공주시 장기면 은용리 **번지,,,백제부화장,2003.4.10 9:22,I,2018.8.31 23:59,,,,부화업,,,0,
24,부화업,02_04_04_P,4500000,4.5E+17,2004.6.23,,1,영업/정상,0,정상,,,,,,0,314-913,충청남도 공주시 장기면 은용리 **번지,,,백제,2011.4.4 16:27,I,2018.8.31 23:59,,,,부화업,,3,0,
25,부화업,02_04_04_P,4550000,4.55E+17,2003.6.3,,1,영업/정상,0,정상,,,,,754-5890,1510,312-932,충청북도 단양군 적성면 파랑리 ***-*,충청남도 금산군 진산면 살구정길 ***,32700,농업회사법인(주)한협원종,2023.4.4 15:50,U,2023.5.26 8:48,,229318.2713,295280.6453,부화업,,7,L00,0
26,부화업,02_04_04_P,4550000,4.55E+17,2018.2.12,,1,영업/정상,0,정상,,,,,,,32700,충청남도 금산군 진산면 막현리 ***-*번지,충청남도 금산군 진산면 하막현길 **-**,32700,대덕진산부화장,2018.2.12 8:28,I,2018.8.31 23:59,,232380.643,300668.6738,부화업,,649,L00,
27,부화업,02_04_04_P,4530000,4.53E+17,2005.3.18,,1,영업/정상,0,정상,,,,,,0,356-891,충청남도 서산시 부석면 가사리 ****-**,충청남도 서산시 부석면 가사수등길 ***-**,32017,주식회사유화농장,2020.10.21 10:49,U,2020.10.23 2:40,,141965.9309,360434.4882,부화업,,3,L00,
28,부화업,02_04_04_P,4530000,4.53E+17,2017.1.7,,1,영업/정상,0,정상,,,,,,,32028,충청남도 아산시 둔포면 운교리,충청남도 서산시 고북면 봉생길 ***-**,32028,농업회사법인 유한회사 성호,2020.9.24 9:41,U,2020.9.26 2:40,,154819.9202,349603.3989,부화업,,1497,L00,
29,부화업,02_04_04_P,4590000,4.59E+17,1991.1.31,,1,영업/정상,0,정상,,,,,,0,,충청남도 청양군 화성면 장계리 ***,,,혜선부화장,2003.4.30 11:45,I,2018.8.31 23:59,,,,부화업,,,0,
30,부화업,02_04_04_P,4590000,4.59E+17,2004.9.9,,1,영업/정상,0,정상,,,,,943-4448,0,345-822,충청남도 청양군 화성면 장계리,충청남도 청양군 화성면 대청로 ** (혜선주유소),33311,혜선농장,2015.8.5 15:24,I,2018.8.31 23:59,,,,부화업,,10,0,
31,부화업,02_04_04_P,4490000,4.49E+17,2002.12.13,,1,영업/정상,0,정상,,,,,,1548,330-872,전라북도 김제시 금산면 용산리 ***-* (주)화인코리아천안부화장,"충청남도 천안시 동남구 동면 죽계리*길 **, (주)화인코리아천안부화장",31259,농업회사법인(주)사조원 천안부화장(동면),2022.11.24 16:49,U,2022.11.26 2:40,,233270.0452,365845.4106,부화업,,12,L00,0
32,부화업,02_04_04_P,4490000,4.49E+17,2005.11.28,,1,영업/정상,0,정상,,,,,,0,330-861,충청남도 천안시 동남구 병천면 병천리 ***-*번지 독립부화장,"충청남도 천안시 동남구 병천면 개목고개길 ***, 독립부화장",31254,독립부화장,2019.8.9 9:07,U,2019.8.11 2:40,,226587.9933,363985.3593,부화업,,620,0,0
33,부화업,02_04_04_P,4490000,4.49E+17,2012.3.8,,1,영업/정상,0,정상,,,,2015.2.10,566-7376,,330-913,충청남도 천안시 동남구 풍세면 보성리 *번지,,,영광부화장,2020.1.10 15:45,U,2020.1.12 2:40,,,,부화업,,1021,0,0
34,부화업,02_04_04_P,4490000,4.49E+17,2017.10.20,,1,영업/정상,0,정상,,,,,,,31227,,충청남도 천안시 동남구 목천읍 미죽로 ***,31227,거성부화장,2017.10.20 12:56,I,2018.8.31 23:59,,214713.1087,360469.7554,부화업,,1407,0,0
35,부화업,02_04_04_P,4490000,5.66E+17,2015.3.30,,1,영업/정상,0,정상,,,,,,,331-290,충청남도 천안시 서북구 업성동 *** (주)체리부로,"충청남도 천안시 서북구 감나무골길 **, (주)체리부로 (업성동)",31076,동산부화장,2023.6.30 18:03,U,2023.7.2 2:40,,212010.9605,373317.2474,부화업,,1308,0,0
36,부화업,02_04_04_P,4510000,4.51E+17,2004.1.13,,1,영업/정상,0,정상,,,,,641-8104,4545.45,355-821,충청남도 보령시 청소면 야현리 ***,충청남도 보령시 청소면 청소큰길 **,33418,(주)농업회사법인삼화원종 야현부화장,2021.9.27 10:44,U,2021.9.29 2:40,,163049.6479,325745.4165,부화업,,26,L00,0
37,부화업,02_04_04_P,4510000,4.51E+17,2006.11.20,,1,영업/정상,0,정상,,,,,041-931-9184,0,355-844,충청남도 보령시 오천면 오포리 ***-*,충청남도 보령시 오천면 오천중앙로 ***-**,33407,농업회사법인 (주)한국원종 오포부화장,2022.7.4 9:22,U,2022.7.6 2:40,,157828.8194,323178.0736,부화업,,605,L00,0
38,부화업,02_04_04_P,4510000,4.51E+17,2007.1.11,,1,영업/정상,0,정상,,,,,041-931-1984,0,355-881,충청남도 보령시 남포면 달산리 ***-*,충청남도 보령시 남포면 월전로 ***,33497,남포부화장,2022.7.4 9:21,U,2022.7.6 2:40,,163165.2258,310254.0667,부화업,,611,L00,0
39,부화업,02_04_04_P,4510000,4.51E+17,2015.12.31,,1,영업/정상,0,정상,,,,,934-6997,,355-871,충청남도 보령시 미산면 남심리 **-*번지,충청남도 보령시 미산면 판미로 **,33512,보령축산부화장,2016.11.29 11:05,I,2018.8.31 23:59,,170619.9733,298758.6059,부화업,,1692,0,
40,부화업,02_04_04_P,5580000,5.58E+17,2001.8.21,,1,영업/정상,0,정상,,,,,,0,321-917,충청남도 계룡시 엄사면 유동리 ***,충청남도 계룡시 엄사면 소라실길 **,32829,계룡부화장,2022.10.18 12:58,U,2022.10.20 2:40,,220906.7091,308272.077,부화업,,1,0,0
41,부화업,02_04_04_P,4580000,4.58E+17,2005.3.28,,1,영업/정상,0,정상,,,,,041-952-8100,0,325-882,전라북도 군산시 미장동 ***-*번지 ***-*,충청남도 서천군 비인면 칠지길 ***,33605,충남농원부화장,2016.10.25 10:41,I,2018.8.31 23:59,,162632.8203,293539.5792,부화업,,102,0,
42,부화업,02_04_04_P,3910000,3.91E+17,2014.10.7,,1,영업/정상,0,정상,,,,,031-280-7736,,451-872,경기도 평택시 청북읍 고잔리 ***-*,경기도 평택시 오성면 청오로 ***,17818,농업회사법인 조인팜스(주),2021.12.20 21:20,U,2021.12.22 2:40,,191419.585,395225.3998,부화업,,1119,L00,0
43,부화업,02_04_04_P,3910000,3.91E+17,2015.2.4,,1,영업/정상,0,정상,,,,,,,451-883,경기도 평택시 안중읍 덕우리 ***-*,경기도 평택시 안중읍 안중북로 ***,17816,기린부화장,2021.2.16 17:14,U,2021.2.18 2:40,,192840.4857,389364.1232,부화업,,1124,0,
44,부화업,02_04_04_P,3910000,3.91E+17,2017.12.1,,1,영업/정상,0,정상,,,,,,,17794,경기도 평택시 청북읍 고잔리 ****번지,경기도 평택시 청북읍 청북중앙로 ***-**,17794,농업회사법인 (주)글로벌,2020.5.13 14:26,U,2020.5.15 2:40,,189751.705,396062.2643,부화업,,1193,L00,
45,부화업,02_04_04_P,5600000,5.6E+17,1994.12.27,,1,영업/정상,0,정상,,,,,542-1219,0,487-823,경기도 포천시 소흘읍 송우리 **-**번지,경기도 포천시 소흘읍 화합로 ***-**,11170,창동부화장,2020.4.17 11:34,U,2020.4.19 2:40,,213143.9205,481868.7415,부화업,,4,0,
46,부화업,02_04_04_P,5600000,5.6E+17,2003.2.14,,1,영업/정상,0,정상,,,,,531-7141,0,487-882,경기도 포천시 소흘읍 송우리 ***-*,경기도 포천시 영중면 호국로****번길 **,11127,성동부화장,2022.9.29 10:58,U,2022.10.1 2:40,,222330.4184,503424.6199,부화업,,7,0,0
47,부화업,02_04_04_P,5600000,5.6E+17,2011.10.28,,1,영업/정상,0,정상,,,,,031-532-0995,,487-853,경기도 포천시 일동면 길명리 ***-*,경기도 포천시 일동면 영일로 ***-*,11121,(주)마니커포천지점,2022.3.15 11:04,U,2022.3.17 2:40,,224443.8603,492858.6418,부화업,,1502,L00,0
48,부화업,02_04_04_P,5700000,4.11E+17,2000.6.21,,1,영업/정상,0,정상,,,,,031-884-6550,0,,경기도 여주시 능현동 **-**번지,,,흥일부화장,2004.1.28 16:34,I,2018.8.31 23:59,,,,부화업,,,0,
49,부화업,02_04_04_P,5700000,4.11E+17,2003.5.16,,1,영업/정상,0,정상,,,,,,0,,경기도 여주시 능서면 광대리 ***번지,,,(주)화인코리아 여주부화장,2003.5.16 17:32,I,2018.8.31 23:59,,,,부화업,,,L00,
50,부화업,02_04_04_P,5700000,4.11E+17,2004.5.20,,1,영업/정상,0,정상,,,,,,0,469-802,경기도 여주시 능현동 산 **-**번지,,,흥일부화장,2016.9.30 9:16,I,2018.8.31 23:59,,,,부화업,,18,0,
51,부화업,02_04_04_P,3910000,3.91E+17,1991.12.17,,1,영업/정상,0,정상,,,,,681-7400,0,451-872,경기도 평택시 오성면 죽리 ***-*번지 외*필지,경기도 평택시 오성면 오성북로 **,17819,농업회사법인 양지부화장(주),2019.1.22 12:39,U,2019.1.24 2:40,,196896.5454,389545.9874,부화업,,3,L00,
52,부화업,02_04_04_P,3910000,3.91E+17,2010.10.19,,1,영업/정상,0,정상,,,,,,0,451-883,충청남도 당진시 합덕읍 석우리 ***-*번지,경기도 평택시 안중읍 안중북로 ***-**,17815,(주)부성팜스,2019.1.22 12:38,U,2019.1.24 2:40,,192282.5024,389272.5654,부화업,,944,L00,
53,부화업,02_04_04_P,5700000,4.11E+17,2009.11.1,,1,영업/정상,0,정상,,,,,,0,469-802,경기도 여주시 점봉동 ***-*번지 외*필지,경기도 여주시 점곡길 **-** (점봉동),12659,신영육부화장,2014.2.28 13:23,I,2018.8.31 23:59,,257739.7443,416670.2722,부화업,,1065,0,
54,부화업,02_04_04_P,4060000,4.06E+17,2017.8.4,,1,영업/정상,0,정상,,,,,031-964-2147,,10801,경기도 파주시 적성면 식현리 **-*번지,경기도 파주시 적성면 술이홀로 ****-*,10801,소래축산부화장,2017.8.4 10:26,I,2018.8.31 23:59,,190433.9065,494771.486,부화업,,1351,0,
55,부화업,02_04_04_P,5090000,5.09E+17,2004.6.24,,1,영업/정상,0,정상,,,,,054-631-2858,0,750-130,경상북도 영주시 조와동 ***-* 봉산농장,"경상북도 영주시 조와로 ***, 봉산농장 (조와동)",36062,봉산부화장,2022.3.4 9:50,U,2022.3.6 2:40,,344763.117,373891.0434,부화업,,4,0,0
56,부화업,02_04_04_P,5090000,5.09E+17,2004.9.4,,1,영업/정상,0,정상,,,,,054-630-4522,0,750-871,경상북도 영주시 안정면 묵리 ***,경상북도 영주시 안정면 대룡산로 ***,,경상북도 축산기술연구소,2023.1.12 11:16,U,2023.1.14 2:40,,339360.3293,368876.0916,부화업,,6,L00,0
57,부화업,02_04_04_P,5100000,5.1E+17,1996.11.19,,1,영업/정상,0,정상,,,,,,0,770-260,경상북도 영천시 대전동 ***번지,경상북도 영천시 대전길 ** (대전동),38821,신라부화장,2016.1.15 8:33,I,2018.8.31 23:59,,372274.2672,277190.5734,부화업,,2,0,
58,부화업,02_04_04_P,5100000,5.1E+17,2004.9.16,,1,영업/정상,0,정상,,,,2015.10.16,054)336-7401,0,770-804,경상북도 영천시 금호읍 냉천리 ***번지,경상북도 영천시 금호읍 어은길 *,,대영부화장,2015.10.16 12:47,I,2018.8.31 23:59,,370021.4186,270662.7513,부화업,,8,L00,
59,부화업,02_04_04_P,5100000,5.1E+17,2007.5.16,,1,영업/정상,0,정상,,,,,054-331-7757,0,770-803,경상북도 영천시 금호읍 삼호리 ***번지,경상북도 영천시 금호읍 대구대길 ***-*,,파인스부화장,2017.9.11 16:38,I,2018.8.31 23:59,,368497.9804,269977.9555,부화업,,511,0,
60,부화업,02_04_04_P,5100000,5.1E+17,2011.10.20,,1,영업/정상,0,정상,,,,,,,770-804,경상북도 영천시 금호읍 냉천리 ***-*번지 외 *필,경상북도 영천시 금호읍 어은길 **-**,38882,대영농원,2016.11.28 11:08,I,2018.8.31 23:59,,370252.4391,270976.3736,부화업,,1409,L00,
61,부화업,02_04_04_P,4710000,4.71E+17,1991.11.15,,1,영업/정상,0,정상,,,,,542-4984,660,576-972,전라북도 김제시 용지면 효정리 ***-**번지,전라북도 김제시 용지면 마항길 **,54336,신흥부화장,2019.2.20 15:16,U,2019.2.22 2:40,,194725.6874,258962.0197,부화업,,7,0,
62,부화업,02_04_04_P,4710000,4.71E+17,2008.2.20,,1,영업/정상,0,정상,,,,,063-545-9323,0,576-971,전라북도 김제시 용지면 봉의리 ***-*,전라북도 김제시 용지면 봉의*길 **-**,54331,(주)하림 김제PS 부화장,2022.5.17 18:14,U,2022.5.19 2:40,,196151.0349,264048.8153,부화업,,1290,L00,0
63,부화업,02_04_04_P,4710000,4.71E+17,2011.10.7,,1,영업/정상,0,정상,,,,,,,576-310,전라북도 김제시 장화동 ***-*번지,전라북도 김제시 월산로 ** (장화동),54418,새만금부화장,2016.11.25 15:04,I,2018.8.31 23:59,,187698.3411,251895.5445,부화업,,2241,0,
64,부화업,02_04_04_P,4700000,4.7E+17,2016.2.9,,1,영업/정상,0,정상,,,,2021.6.2,,2578,590-881,전라북도 남원시 보절면 진기리 ****-*,전라북도 남원시 보절면 진목*길 **,55706,보절(부화장),2023.1.13 11:08,U,2023.1.15 2:40,,237015.7638,222880.7113,부화업,,28,0,0
65,부화업,02_04_04_P,4700000,4.7E+17,2010.6.23,,1,영업/정상,0,정상,,,,,,0,590-941,전라북도 남원시 주생면 낙동리 ***-* 외 *필지,전라북도 남원시 주생면 금풍로 ***-**,55783,신북부화장,2022.11.19 15:33,U,2022.11.21 2:40,,226058.2334,210049.9494,부화업,,1234,0,0
66,부화업,02_04_04_P,4790000,4.79E+17,2011.4.13,,1,영업/정상,0,정상,,,,,,0,579-863,전라북도 부안군 상서면 통정리 ***번지,전라북도 부안군 상서면 용와*길 **,56333,우슬재황토촌,2015.9.15 14:25,I,2018.8.31 23:59,,167439.7564,243500.0508,부화업,,1109,0,
67,부화업,02_04_04_P,4690000,4.69E+17,2018.2.2,,1,영업/정상,0,정상,,,,,,,56122,전라북도 정읍시 산외면 동곡리 ***-*번지,전라북도 정읍시 산외면 상산로 ***,56122,우진부화장,2018.2.2 19:59,I,2018.8.31 23:59,,202927.3101,237375.6363,부화업,,3832,L00,
68,부화업,02_04_04_P,4690000,4.69E+17,1987.8.20,,1,영업/정상,0,정상,,,,,534-1339,1322.3,580-841,전라북도 정읍시 이평면 마항리 ***번지,전라북도 정읍시 이평면 요골길 **,56144,성우H.F,2016.10.12 9:54,I,2018.8.31 23:59,,185471.1302,241247.3645,부화업,,32,0,
69,부화업,02_04_04_P,4780000,4.78E+17,2004.3.16,,1,영업/정상,0,정상,,,,,063-564-4324(36534916),0,585-832,***-**번지,전라북도 고창군 신림면 신림로 **,56424,신림부화장,2019.4.24 14:50,U,2019.4.26 2:40,,172861.9546,221545.312,부화업,,2,L00,
70,부화업,02_04_04_P,4690000,4.69E+17,2005.3.4,,1,영업/정상,0,정상,,,,,537-1204,0,580-872,전라북도 정읍시 소성면 신천리 신천 ***-**,,,소성부화장,2015.7.29 9:31,I,2018.8.31 23:59,,,,부화업,,174,0,
71,부화업,02_04_04_P,4690000,4.69E+17,2005.12.2,,1,영업/정상,0,정상,,,,,,0,580-912,전라북도 정읍시 감곡면 진흥리 ***-*,전라북도 정읍시 감곡면 백산감산로 ***,56110,일출부화장,2023.3.9 11:23,U,2023.3.11 2:40,,193721.6467,243522.2655,부화업,,958,0,0
72,부화업,02_04_04_P,4690000,4.69E+17,2008.3.13,,1,영업/정상,0,정상,,,,,,0,580-841,전라북도 정읍시 시기동 ***번지,전라북도 정읍시 이평면 요골길 **,,천우부화장,2015.9.16 17:53,I,2018.8.31 23:59,,185536.5077,241277.277,부화업,,1799,0,
73,부화업,02_04_04_P,4690000,4.69E+17,2004.5.25,,1,영업/정상,0,정상,,,,2013.3.12,,0,580-040,전라북도 정읍시 구룡동 ***번지 외 *필지,전라북도 정읍시 용북길 *** (구룡동),56184,영창부화장,2018.9.28 17:04,U,2018.9.28 23:59,,189539.7768,230851.2158,부화업,,24,0,
74,부화업,02_04_04_P,4780000,4.78E+17,1996.3.11,,1,영업/정상,0,정상,,,,,,0,585-833,전라북도 고창군 신림면 법지리 ***-*번지,전라북도 고창군 신림면 사천길 **-**,,고창농원,2014.3.25 18:29,I,2018.8.31 23:59,,172331.0559,222578.9227,부화업,,23,0,
