번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총직원수
75,부화업,02_04_04_P,4690000,4.69E+17,2009.9.9,,1,영업/정상,0,정상,,,,,,0,580-942,전라북도 정읍시 칠보면 수청리 ***번지,전라북도 정읍시 칠보면 칠보산로 ****-**,,칠보산 부화장,2016.3.16 17:42,I,2018.8.31 23:59,,193417.3803,227634.7048,부화업,,2974,0,
76,부화업,02_04_04_P,4690000,4.69E+17,2010.7.13,,1,영업/정상,0,정상,,,,,,0,580-120,전라북도 정읍시 상평동 ***-**번지,전라북도 정읍시 소성상평로 ***-** (상평동),,정읍부화장,2015.7.29 9:47,I,2018.8.31 23:59,,183894.6525,229480.5585,부화업,,3114,0,
77,부화업,02_04_04_P,4690000,4.69E+17,2004.6.7,,1,영업/정상,0,정상,,,,,531-8788,0,580-140,전라북도 정읍시 과교동 **-*번지,,,자연부화장,2021.8.31 9:32,U,2021.9.2 2:40,,,,부화업,,28,0,0
78,부화업,02_04_04_P,4690000,4.69E+17,2011.1.15,,1,영업/정상,0,정상,,,,,,0,580-942,전라남도 순천시 용당동 ***,전라북도 정읍시 칠보면 세류길 **,56129,농업회사법인(주)엘케이덕,2022.8.10 10:54,U,2022.8.12 2:40,,245620.7542,164560.0265,부화업,,3218,L00,0
79,부화업,02_04_04_P,4690000,4.69E+17,2011.7.21,,1,영업/정상,0,정상,,,,,535-3550,,580-871,전라북도 정읍시 소성면 고교리 ***번지,전라북도 정읍시 소성면 입고로 ***,,삼호부화장,2016.3.29 8:15,I,2018.8.31 23:59,,179174.2179,231391.2218,부화업,,3369,L00,
80,부화업,02_04_04_P,4690000,4.69E+17,2011.12.9,,1,영업/정상,0,정상,,,,,,,580-844,전라북도 정읍시 이평면 청량리 ***-*,전라북도 정읍시 이평면 태평길 ***-**,,무진부화장,2022.6.30 11:16,U,2022.7.2 2:40,,182068.0875,241874.5496,부화업,,3440,0,0
81,부화업,02_04_04_P,4690000,4.69E+17,2012.3.22,,1,영업/정상,0,정상,,,,,,,580-230,전라북도 정읍시 용계동 ***-*번지,전라북도 정읍시 영원로 *** (용계동),56153,대성부화장,2015.7.29 10:33,I,2018.8.31 23:59,,182147.4928,231952.5201,부화업,,3491,0,
82,부화업,02_04_04_P,4690000,4.69E+17,2015.4.21,,1,영업/정상,0,정상,,,,,,,580-883,전라북도 정읍시 입암면 마석리 **-* 동방산업,"전라북도 정읍시 입암면 정읍남로 ***, 동방산업",56216,성지부화장Ⅱ,2021.9.1 15:47,U,2021.9.3 2:40,,183245.8916,226621.6476,부화업,,3699,L00,0
83,부화업,02_04_04_P,4780000,4.78E+17,2004.3.16,,1,영업/정상,0,정상,,,,,,0,585-832,***-**번지,전라북도 고창군 신림면 환산길 **,56424,환산부화장,2019.4.25 14:51,U,2019.4.27 2:40,,173332.1498,222274.1113,부화업,,3,L00,
84,부화업,02_04_04_P,4780000,4.78E+17,2007.5.23,,1,영업/정상,0,정상,,,,,,0,585-882,전라북도 고창군 무장면 옥산리 ****-*,전라북도 고창군 무장면 칠거리로 ***,,(주)하림 무장부화장,2023.2.27 14:00,U,2023.3.1 2:40,,161824.8187,211457.1492,부화업,,459,L00,0
85,부화업,02_04_04_P,4170000,4.17E+17,2005.9.1,,1,영업/정상,0,정상,,,,,,0,476-871,경기도 양평군 양평읍 양근리 산 *-*,,,목산오리농장,2022.9.21 14:11,U,2022.9.23 2:40,,,,부화업,,472,0,0
86,부화업,02_04_04_P,4070000,4.07E+17,2004.9.10,,1,영업/정상,0,정상,,,,,642-9989,0,467-903,경기도 이천시 장호원읍 어석리 **-**,경기도 이천시 장호원읍 어석로 ***,17415,농업회사법인 한국양계(주),2021.7.2 10:29,U,2021.7.4 2:40,,252446.0897,401178.9469,부화업,,177,L00,
87,부화업,02_04_04_P,4050000,4.05E+17,2004.1.15,,1,영업/정상,0,정상,,,,,322-5249,197,449-873,경기도 용인시 처인구 원삼면 문촌리 **-*번지,,,명바위농산,2004.6.16 13:10,I,2018.8.31 23:59,,226868.8856,405673.9694,부화업,,12,0,
88,부화업,02_04_04_P,5590000,5.59E+17,2017.1.25,,1,영업/정상,0,정상,,,,,031-858-5500,,11410,경기도 화성시 안녕동 ***,경기도 양주시 남면 화합로***번길 **-***,11410,(주)한강식품 양주부화장,2022.9.21 16:35,U,2022.9.23 2:40,,200619.8138,411029.2257,부화업,,1115,L00,0
89,부화업,02_04_04_P,4050000,4.05E+17,1993.4.20,,1,영업/정상,0,정상,,,,,031-280-7705,9656,449-864,경기도 평택시 오성면 양교리 *** 마니커,"경기도 용인시 처인구 백암면 삼백로 ***, 마니커",17182,강남부화장(농업회사법인 조인팜스 주식회사),2021.12.7 13:29,U,2021.12.9 2:40,,196943.6403,390742.2938,부화업,,11,L00,0
90,부화업,02_04_04_P,4760000,4.76E+17,2019.6.12,,1,영업/정상,0,정상,,,,,,,55942,전라북도 임실군 청웅면 옥전리 ***-*,전라북도 임실군 덕치면 강동로 ****-**,55942,평화농장,2021.3.11 15:19,U,2021.3.13 2:40,,219598.1817,230822.6612,부화업,,1565,0,
91,부화업,02_04_04_P,4680000,4.68E+17,2019.8.27,,1,영업/정상,0,정상,,,,,,,,전라북도 익산시 황등면 율촌리 ***-*,"전라북도 익산시 황등면 율촌*길 **, (율촌리 ***-**)",54531,영생부화장,2021.2.3 16:47,U,2021.2.5 2:40,,195753.7851,278780.1516,부화업,,2264,0,
92,부화업,02_04_04_P,4181000,4.18E+17,2012.5.17,,1,영업/정상,0,정상,,,,2014.7.22,,,200-822,강원특별자치도 춘천시 신북읍 산천리 ***,강원특별자치도 춘천시 신북읍 신북로 ***-**,24203,신세기부화장,2016.7.14 9:21,I,2023.6.13 0:00,,265891.894,493816.2092,부화업,,379,0,0
93,부화업,02_04_04_P,3600000,3.6E+17,2011.1.20,,1,영업/정상,0,정상,,,,,373-5863,0,502-152,광주광역시 서구 벽진동 ***-*번지,광주광역시 서구 벽진길 ** (벽진동),62010,덕스토리,2012.11.7 18:24,I,2018.8.31 23:59,,184826.9314,181394.5138,부화업,,27,0,
94,부화업,02_04_04_P,5110000,5.11E+17,2003.5.15,,1,영업/정상,0,정상,,,,,054-534-9815,0,742-963,경상북도 상주시 사벌국면 묵하리 ***-*,경상북도 상주시 사벌국면 경천로 ***-**,37127,(주)올품 사벌부화장,2021.4.1 17:27,U,2021.4.3 2:40,,310565.3486,330392.6389,부화업,,631,L00,
95,부화업,02_04_04_P,5220000,5.22E+17,1997.12.27,,1,영업/정상,0,정상,,,,,974-9988,3000,718-912,경상북도 칠곡군 가산면 천평리 **-*번지,경상북도 칠곡군 가산면 송신로 **,39852,성진부화장,2016.7.20 11:20,I,2018.8.31 23:59,,338342.7496,288629.4525,부화업,,4,L00,
96,부화업,02_04_04_P,5080000,5.08E+17,2012.3.6,,1,영업/정상,0,정상,,,,,,,730-806,경상북도 구미시 선산읍 봉곡리 ***-*번지,경상북도 구미시 선산읍 선산봉곡*길 **-*,39133,하복 부화장,2013.8.22 14:37,I,2018.8.31 23:59,,312721.0829,305624.0914,부화업,,981,0,
97,부화업,02_04_04_P,5360000,5.36E+17,1998.7.22,,1,영업/정상,0,정상,,,,,,288,627-872,경상남도 밀양시 무안면 화봉리 ***-*번지,경상남도 밀양시 무안면 삼화길 ***-**,50406,한신부화장,2017.2.15 16:41,I,2018.8.31 23:59,,348293.3068,223364.5471,부화업,,7,0,
98,부화업,02_04_04_P,4670000,4.67E+17,2005.1.5,,1,영업/정상,0,정상,,,,,063)451-0268,0,573-851,전라북도 군산시 개정면 통사리 *** ㈜동우,"전라북도 군산시 개정면 우산길 **-**, ㈜동우",54066,(주)동우팜투테이블 개정부화장,2023.5.12 11:28,U,2023.5.14 2:40,,182069.9607,271516.0587,부화업,,4,L00,0
99,부화업,02_04_04_P,4740000,4.74E+17,1994.8.10,,1,영업/정상,0,정상,,,,,322-5246,0,568-802,전라북도 무주군 무주읍 읍내리 ****-*번지,전라북도 무주군 무주읍 내도로 ***-**,55506,무주부화장,2011.10.30 15:57,I,2018.8.31 23:59,,258409.9174,281894.3244,부화업,,5,0,
100,부화업,02_04_04_P,5470000,5.47E+17,2013.2.22,,1,영업/정상,0,정상,,,,,,,670-881,경상남도 거창군 남상면 임불리 ****번지,경상남도 거창군 남상면 월행로 ***-***,50150,농업회사법인 (주) 제이디팜 거창지점,2020.1.16 10:39,U,2020.1.18 2:40,,288675.8908,235718.8995,부화업,,1755,0,
101,부화업,02_04_04_P,4490000,4.49E+17,2019.11.8,,1,영업/정상,0,정상,,,,,041-567-5288,,31259,충청남도 천안시 동남구 동면 죽계리 ***-*번지 농업법인(주)사조원천안부화장,"충청남도 천안시 동남구 동면 죽계리*길 **, 농업법인(주)사조원천안부화장",31259,농업법인(주)사조원,2019.11.8 15:01,I,2019.11.10 0:23,,233270.0452,365845.4106,부화업,,1507,L00,
102,부화업,02_04_04_P,5700000,5.7E+17,2022.2.10,,1,영업/정상,0,정상,,,,,,,12647,경기도 여주시 세종대왕면 마래리 ***,경기도 여주시 세종대왕면 양화로 ***-**,12647,신애메추리,2022.2.10 15:31,I,2022.2.12 0:22,,249378.2189,417679.4704,부화업,,1446,0,0
103,부화업,02_04_04_P,5130000,5.13E+17,2022.4.6,,1,영업/정상,0,정상,,,,,,,38479,경상북도 경산시 진량읍 아사리 ***-*,경상북도 경산시 진량읍 금박로 ***,38479,농업회사법인 에이원 주식회사,2022.4.6 11:44,I,2022.4.8 0:22,,367711.9194,265215.6152,부화업,,1643,L00,0
104,부화업,02_04_04_P,4950000,4.95E+17,2000.6.3,,1,영업/정상,0,정상,,,,,,0,534-821,전라남도 무안군 삼향읍 용포리 ***-**번지,전라남도 무안군 삼향읍 오룡산로 ***-*,58563,현대부화장,2018.7.27 9:47,I,2018.8.31 23:59,,152430.7002,147677.1506,부화업,,5,0,
105,부화업,02_04_04_P,4950000,4.95E+17,2002.10.30,,1,영업/정상,0,정상,,,,,,0,534-834,전라남도 무안군 청계면 청계리 ***번지,전라남도 무안군 청계면 학유정길 **-**,58556,청계부화장,2017.10.20 14:56,I,2018.8.31 23:59,,147373.6791,154771.6273,부화업,,6,0,
106,부화업,02_04_04_P,4950000,4.95E+17,2014.4.10,,1,영업/정상,0,정상,,,,,,,534-813,"전라남도 무안군 몽탄면 청용리 * ((*,*,**-*,**-*)",전라남도 무안군 몽탄면 몽탄로 ****-**,58549,삼신부화장,2020.11.27 15:58,U,2020.11.29 2:40,,154863.3558,156295.4834,부화업,,2221,0,
107,부화업,02_04_04_P,4950000,4.95E+17,2017.2.20,,1,영업/정상,0,정상,,,,,,,58504,전라남도 무안군 해제면 용학리 ***-*** 주*동,전라남도 무안군 해제면 해제지도로 ***-**,58504,친환경양계영농조합법인,2020.10.22 11:17,U,2020.10.24 2:40,,137287.7068,176604.407,부화업,,2324,L00,
108,부화업,02_04_04_P,4910000,4.91E+17,2012.3.29,,1,영업/정상,0,정상,,,,,061-864-5233,,529-851,전라남도 장흥군 안양면 당암리 *번지,전라남도 장흥군 안양면 고당월계길 ***,59338,농업회사법인한국원종오리(유),2015.5.14 9:44,I,2018.8.31 23:59,,198477.0865,130049.8894,부화업,,1459,L00,
109,부화업,02_04_04_P,4960000,4.96E+17,2017.10.10,,1,영업/정상,0,정상,,,,,,,57131,전라남도 함평군 나산면 송암리 *번지,전라남도 함평군 나산면 월암로 ****-**,57131,송암부화장,2017.11.20 10:16,I,2018.8.31 23:59,,168072.2863,179707.9301,부화업,,2144,0,
110,부화업,02_04_04_P,4960000,4.96E+17,2007.5.23,,1,영업/정상,0,정상,,,,,,0,525-881,전라남도 함평군 월야면 예덕리 ***-**번지,전라남도 함평군 월야면 문화로 ****-**,57121,대화오리부화장,2016.3.15 10:33,I,2018.8.31 23:59,,164773.3993,190608.1093,부화업,,547,0,
111,부화업,02_04_04_P,4960000,4.96E+17,2007.6.13,,1,영업/정상,0,정상,,,,,,0,525-883,전라남도 함평군 월야면 용정리 **-*번지,전라남도 함평군 월야면 해보만년길 ***-**,,대성농장,2016.8.17 11:15,I,2018.8.31 23:59,,163229.2575,188746.0308,부화업,,556,0,
112,부화업,02_04_04_P,4960000,4.96E+17,2018.9.20,,1,영업/정상,0,정상,,,,,,0,525-873,전라남도 함평군 월야면 외치리 ***-*번지,전라남도 함평군 해보면 해삼로 ***-*,,부러나 부화장,2018.9.20 15:53,U,2018.9.20 23:59,,163982.2128,188524.2907,부화업,,585,0,
113,부화업,02_04_04_P,4960000,4.96E+17,2011.1.6,,1,영업/정상,0,정상,,,,,323-4570,0,525-811,전라남도 함평군 학교면 마산리 ***-*번지 외 *필지,전라남도 함평군 학교면 학교신평길 **-** (외 *필지),,농업회사법인(유)누리플러스,2020.6.2 11:01,U,2020.6.4 2:40,,159378.2149,173098.1062,부화업,,1649,L00,
114,부화업,02_04_04_P,4960000,4.96E+17,2012.4.6,,1,영업/정상,0,정상,,,,,,,525-832,전라남도 함평군 대동면 금산리 ***-**,전라남도 함평군 대동면 벽류길 **,57135,농업회사법인 하느리농원주식회사,2022.9.15 16:14,U,2022.9.17 2:40,,153641.0706,180069.4337,부화업,,1832,L00,0
115,부화업,02_04_04_P,4960000,4.96E+17,2012.4.6,,1,영업/정상,0,정상,,,,,,,525-873,전라남도 함평군 해보면 문장리 ***-*번지,전라남도 함평군 해보면 밀재로 ****-*,57117,농업회사법인(주)다솔,2018.7.24 17:36,I,2018.8.31 23:59,,164971.1556,186632.7961,부화업,,1833,L00,
116,부화업,02_04_04_P,4960000,4.96E+17,2017.8.17,,1,영업/정상,0,정상,,,,,,,,전라남도 함평군 대동면 금산리 ***-**번지,전라남도 함평군 대동면 벽류길 **-*,,함평 부화장,2017.8.17 12:17,I,2018.8.31 23:59,,153641.0706,180069.4337,부화업,,2142,0,
117,부화업,02_04_04_P,4880000,4.88E+17,2012.8.20,,1,영업/정상,0,정상,,,,,062-713-5251,,548-841,"전라남도 고흥군 남양면 침교리 *** **-*,**-*,**-*,**,**,**-*,**-*","전라남도 고흥군 남양면 남양로 ***-**, **-*,**-*,**-*,**,**,**-*,**-*",59505,고흥부화장,2023.3.3 11:05,U,2023.3.5 2:40,,232100.8667,139526.0656,부화업,,2505,L00,0
118,부화업,02_04_04_P,4950000,4.95E+17,2007.4.30,,1,영업/정상,0,정상,,,,,,0,534-833,전라남도 무안군 청계면 청수리 ***-*,전라남도 무안군 청계면 남청길 **-**,58541,가람부화장,2022.12.6 11:44,U,2022.12.8 2:40,,147749.9917,161434.6571,부화업,,731,0,0
119,부화업,02_04_04_P,4950000,4.95E+17,2007.12.24,,1,영업/정상,0,정상,,,,,,0,534-844,"전라남도 무안군 현경면 현화리 **번지 , **번지 *호",전라남도 무안군 현경면 장군로 ***-*,58514,은수네 부화장,2012.2.17 10:14,I,2018.8.31 23:59,,149669.1238,172175.7275,부화업,,881,0,
120,부화업,02_04_04_P,4980000,4.98E+17,2004.6.15,,1,영업/정상,0,정상,,,,,394-0052,0,515-881,전라남도 장성군 삼서면 석마리 산 **,,,영성오리농장,2021.4.7 10:57,U,2021.4.9 2:40,,,,부화업,,7,0,
121,부화업,02_04_04_P,4980000,4.98E+17,2010.1.22,,1,영업/정상,0,정상,,,,,,0,515-872,전라남도 장성군 삼계면 발산리 ***-*번지,전라남도 장성군 삼계면 함장로 ****,,갑오농산,2010.1.22 11:58,I,2018.8.31 23:59,,171242.22,196563.3989,부화업,,604,0,
122,부화업,02_04_04_P,4850000,4.85E+17,2005.5.21,,1,영업/정상,0,정상,,,,,,0,517-913,전라남도 담양군 수북면 두정리 ***-*,전라남도 담양군 수북면 대방두정길 ***-**,,유림부화장,2021.10.20 17:23,U,2021.10.22 2:40,,193806.0153,202435.6044,부화업,,63,0,0
123,부화업,02_04_04_P,4830000,4.83E+17,1995.1.16,,1,영업/정상,0,정상,,,,,335-7290,0,520-891,전라남도 나주시 공산면 가송리 ***번지,전라남도 나주시 공산면 가송로 ***-**,,화이트덕영농조합법인부화장,2008.6.10 11:29,I,2018.8.31 23:59,,161285.5215,161910.2367,부화업,,33,L00,
124,부화업,02_04_04_P,4940000,4.94E+17,2006.1.17,,1,영업/정상,0,정상,,,,,,0,526-812,전라남도 영암군 신북면 유곡리 ***-*번지,전라남도 영암군 신북면 닭실길 **,58401,신북부화장,2019.10.28 18:08,U,2019.10.30 2:40,,171232.3135,155961.1044,부화업,,552,0,
125,부화업,02_04_04_P,4940000,4.94E+17,2007.6.4,,1,영업/정상,0,정상,,,,,,0,526-821,전라남도 목포시 달동 ***-**,,,진성축산,2021.9.23 14:59,U,2021.9.25 2:40,,,,부화업,,621,L00,0
126,부화업,02_04_04_P,4830000,4.83E+17,2005.5.24,,1,영업/정상,0,정상,,,,,061-337-0411,0,520-912,전라남도 나주시 동강면 대전리 ***번지,전라남도 나주시 동강면 대장길 **-**,,윤태농원,2014.11.13 10:07,I,2018.8.31 23:59,,159119.6319,156525.7756,부화업,,193,0,
127,부화업,02_04_04_P,4830000,4.83E+17,2008.6.5,,1,영업/정상,0,정상,,,,,,0,520-923,전라남도 나주시 노안면 영평리,"전라남도 나주시 노안면 금안*길 ** (외*필지(***,,***-*,산**-*,산**-*))",58210,다복솔부화장,2015.4.7 18:22,I,2018.8.31 23:59,,,,부화업,,1465,0,
128,부화업,02_04_04_P,4830000,4.83E+17,2008.6.5,,1,영업/정상,0,정상,,,,,,0,520-912,전라남도 나주시 동강면 장동리 ****-*번지,,,경주부화장,2013.11.26 14:35,I,2018.8.31 23:59,,158387.9437,155625.2547,부화업,,1466,0,
129,부화업,02_04_04_P,4830000,4.83E+17,2009.5.6,,1,영업/정상,0,정상,,,,,,0,520-912,전라남도 나주시 동강면 장동리 ***번지,전라남도 나주시 동강면 수문길 **,,행운부화장,2013.11.1 11:13,I,2018.8.31 23:59,,160039.6826,157842.5991,부화업,,1991,0,
130,부화업,02_04_04_P,4830000,4.83E+17,2010.7.7,,1,영업/정상,0,정상,,,,,,0,520-811,전라남도 나주시 노안면 오정리 ***-*번지,전라남도 나주시 노안면 오정길 ***-**,,노안부화농장,2013.9.29 10:04,I,2018.8.31 23:59,,171906.4983,177666.6248,부화업,,2111,0,
131,부화업,02_04_04_P,4830000,4.83E+17,2011.6.29,,1,영업/정상,0,정상,,,,,,,520-933,전라남도 나주시 다시면 문동리 ***번지,전라남도 나주시 다시면 석관로 ***-**,,선경부화장,2011.6.29 15:37,I,2018.8.31 23:59,,164571.4119,166007.6678,부화업,,2255,0,
132,부화업,02_04_04_P,4830000,4.83E+17,2011.8.3,,1,영업/정상,0,정상,,,,,,,520-873,전라남도 나주시 세지면 성산리 ***-*번지,,,석정오리,2018.4.11 21:20,I,2018.8.31 23:59,,174857.5462,155967.5645,부화업,,2268,0,
133,부화업,02_04_04_P,4830000,4.83E+17,2015.4.8,,1,영업/정상,0,정상,,,,,,,520-923,,전라남도 나주시 반남면 금지로 ***-* (번지외 **필지),58302,다복솔부화장,2015.4.8 9:58,I,2018.8.31 23:59,,166677.6871,155531.8981,부화업,,3176,0,
134,부화업,02_04_04_P,4900000,4.9E+17,2013.3.14,,1,영업/정상,0,정상,,,,,061-379-2104,0,519-893,전라남도 화순군 사평면 벽송리 ***-*,전라남도 화순군 사평면 사호로 **-*,58144,인백팜(주) 화순부화장,2023.2.3 16:01,U,2023.2.5 2:40,,207208.6724,168197.693,부화업,,432,L00,0
135,부화업,02_04_04_P,4900000,4.9E+17,2011.3.28,,1,영업/정상,0,정상,,,,,061-375-3003,0,519-822,"전라남도 화순군 한천면 동가리 ***-*번지 (***-*, ***-*)",,,화순우리맛닭영농조합법인,2011.3.28 15:49,I,2018.8.31 23:59,,205613.8528,163125.7717,부화업,,535,L00,
136,부화업,02_04_04_P,4900000,4.9E+17,2018.2.28,,1,영업/정상,0,정상,,,,,,,58161,전라남도 화순군 청풍면 세청리 ***-*번지 외 *필지,전라남도 화순군 청풍면 차풍로 ***-*,58161,블랙팜영농조합법인,2018.2.28 16:53,I,2018.8.31 23:59,,197664.474,153994.2037,부화업,,1219,L00,
137,부화업,02_04_04_P,6510000,6.51E+17,2009.1.29,,1,영업/정상,0,정상,,,,2022.1.19,784-6446,0,690-971,제주특별자치도 제주시 구좌읍 김녕리 ****,제주특별자치도 제주시 구좌읍 일주동로 ****-*,,한라육계영농조합법인김녕부화장,2022.1.19 16:38,U,2022.1.21 2:40,,174511.8899,6472.334264,부화업,,608,L00,0
138,부화업,02_04_04_P,6510000,6.51E+17,2009.3.3,,1,영업/정상,0,정상,,,,,064-784-6681,0,690-979,제주특별자치도 제주시 구좌읍 한동리 ****-*,제주특별자치도 제주시 구좌읍 비자림로동*길 **-***,63350,농업회사법인(주)한라씨에프엔 비자림부화장,2022.8.30 10:15,U,2022.9.1 2:40,,182465.3288,620.4370886,부화업,,623,L00,0
139,부화업,02_04_04_P,6510000,6.51E+17,2011.1.24,,1,영업/정상,0,정상,,,,,,0,690-062,제주특별자치도 제주시 조천읍 조천리 ****번지,제주특별자치도 제주시 조천읍 조와로*길 **,63335,나비부화장,2011.10.30 14:02,I,2018.8.31 23:59,,165856.6081,3157.423677,부화업,,705,0,
140,부화업,02_04_04_P,6510000,6.51E+17,2017.12.20,,1,영업/정상,0,정상,,,,,,,63065,제주특별자치도 제주시 애월읍 고성리 ***번지,제주특별자치도 제주시 애월읍 고성남길 **-*,63065,복전농장,2017.12.20 11:51,I,2018.8.31 23:59,,146381.6278,-6725.049657,부화업,,838,0,
141,부화업,02_04_04_P,5390000,5.39E+17,2020.3.3,,1,영업/정상,0,정상,,,,,,,52160,경상남도 의령군 화정면 상일리 ***-*번지,경상남도 의령군 화정면 화정로 ***-**,52160,의령왕메추리영농조합법인,2020.3.3 8:53,I,2020.3.5 0:23,,311491.781,196672.9372,부화업,,576,L00,
142,부화업,02_04_04_P,4510000,4.51E+17,2020.3.12,,1,영업/정상,0,정상,,,,,041-641-2181,,33419,충청남도 보령시 청소면 재정리 ***-**,충청남도 보령시 청소면 충서로 ****,33419,(주)농업회사법인삼화원종 재정부화장,2021.9.27 10:56,U,2021.9.29 2:40,,,,부화업,,1831,L00,0
143,부화업,02_04_04_P,4390000,4.39E+17,2020.2.12,,1,영업/정상,0,정상,,,,,,,27305,"충청북도 충주시 소태면 주치리 ***-*번지 ***-*, ***-*",충청북도 충주시 소태면 야촌안골길 **-**,27305,황실 토종닭,2020.2.12 15:12,I,2020.2.14 0:23,,276994.2295,406289.1264,부화업,,1550,0,
144,부화업,02_04_04_P,5530000,5.53E+17,1989.5.15,,1,영업/정상,0,정상,,,,,,0,445-932,경기도 화성시 양감면 사창리 **-*,경기도 화성시 양감면 초록로 ***-**,18627,신영농원,2019.7.17 13:11,I,2020.8.5 0:23,,197692.6903,400254.9958,부화업,,34,0,
145,부화업,02_04_04_P,5530000,5.53E+17,1992.8.28,,1,영업/정상,0,정상,,,,,,0,445-953,경기도 화성시 우정읍 화산리 ***,경기도 화성시 우정읍 한말길 ***,18569,화산부화장,2017.12.13 11:25,I,2020.8.5 0:23,,181348.2001,396669.4202,부화업,,584,0,
146,부화업,02_04_04_P,5350000,5.35E+17,1992.12.7,,1,영업/정상,0,정상,,,,,,0,621-823,경상남도 김해시 생림면 봉림리 ***-*,경상남도 김해시 생림면 생림대로***번길 **,50800,신진BHB,2020.11.6 8:12,U,2020.11.8 2:40,,368114.6372,206324.5221,부화업,,2,0,
147,부화업,02_04_04_P,4680000,4.68E+17,1996.6.11,,1,영업/정상,0,정상,,,,,861-1882,0,570-890,전라북도 익산시 낭산면 삼담리 **-** 낭산부화장,"전라북도 익산시 낭산면 진북로 ***-*, 낭산부화장",54521,(주)하림 낭산부화장,2022.7.13 17:07,U,2022.7.15 2:40,,202425.7785,286846.4213,부화업,,10,L00,0
